KO	HnZH11r10	HnZH11r11	HnZH11r12	HnNrt34	HnNrt35	HnNrt36
K00284	0.000210724	0.000215131	0.000235042	0.000316914	0.000319543	0.000339122
K15864	3.46E-06	2.67E-06	3.43E-06	1.08E-06	6.09E-07	5.81E-07
K15577	5.39E-05	7.23E-05	7.39E-05	2.72E-05	2.13E-05	2.99E-05
K00262	0.000151814	0.000162832	0.000194836	0.000244475	0.000265314	0.000244772
K02575	0.000157665	0.000176701	0.000128565	0.000295484	0.000284136	0.000241286
K15576	9.03E-05	0.000134242	9.54E-05	3.24E-05	2.37E-05	3.40E-05
K15371	0.000214466	0.000313144	0.000190347	4.67E-05	3.25E-05	3.78E-05
K15578	5.56E-05	7.29E-05	8.10E-05	2.91E-05	2.29E-05	3.48E-05
K02568	3.40E-05	4.84E-05	6.03E-05	1.36E-05	7.07E-06	3.42E-06
K02567	5.68E-05	7.56E-05	0.000108031	2.56E-05	1.69E-05	6.59E-06
K00261	8.98E-05	7.23E-05	0.000144101	0.00020854	0.000188699	0.00017798
K00363	9.40E-05	8.45E-05	5.08E-05	2.54E-05	2.18E-05	3.32E-05
K00376	1.77E-05	9.77E-06	1.19E-05	6.40E-06	3.09E-06	3.45E-06
K01455	0.000104222	0.000110715	8.23E-05	0.000138356	0.00013108	0.000123131
K01501	0.000235756	0.000205155	0.00024144	0.000200364	0.000193424	0.000180911
K00372	0.000131576	0.000125673	0.00016716	0.000192998	0.00017811	0.00017104
K02591	1.12E-05	6.22E-06	1.17E-05	6.25E-06	3.58E-06	4.80E-06
K00260	4.92E-05	7.17E-05	8.62E-05	8.69E-05	0.000113781	0.000131661
K01915	0.000648424	0.000756474	0.000492786	0.00046772	0.000424143	0.000456104
K04561	5.79E-05	3.59E-05	1.59E-05	1.06E-05	5.11E-06	7.48E-06
K00367	9.27E-06	7.07E-06	1.38E-06	5.57E-07	6.53E-07	1.90E-07
K20932	1.68E-06	1.34E-06	4.09E-07	2.31E-07	2.98E-07	4.20E-07
K03385	2.54E-05	3.18E-05	8.24E-05	1.44E-05	8.73E-06	4.03E-06
K01725	3.14E-05	2.92E-05	1.04E-05	1.01E-05	8.99E-06	1.38E-05
K00368	5.41E-05	2.55E-05	1.29E-05	1.18E-05	7.27E-06	9.97E-06
K05601	3.28E-05	4.24E-05	0.000114162	2.57E-05	1.68E-05	1.59E-05
K15579	1.36E-07	0	9.41E-08	1.57E-08	0	1.13E-08
K02305	1.04E-05	4.80E-06	4.95E-06	3.93E-06	2.51E-06	4.18E-06
K02586	6.53E-06	5.88E-06	1.35E-05	6.04E-06	3.33E-06	4.37E-06
K20933	5.80E-07	6.45E-07	1.50E-06	4.43E-07	3.09E-07	5.61E-07
K10534	3.79E-06	7.57E-07	0	0	0	0
K00360	2.62E-05	2.43E-05	2.81E-06	5.70E-06	8.87E-06	1.01E-05
K02588	4.89E-06	5.00E-06	1.16E-05	5.50E-06	3.02E-06	4.27E-06
K00265	0.000596173	0.000738825	0.000555845	0.00047687	0.000567916	0.00060022
K15876	2.06E-06	1.88E-06	6.16E-06	2.37E-06	1.31E-06	1.71E-06
K00926	4.16E-05	3.82E-05	0.000134301	4.32E-05	2.98E-05	3.73E-05
K10535	5.24E-07	3.50E-07	1.53E-06	3.92E-07	1.79E-07	5.90E-07
K01672	0	0	1.71E-08	0	0	0
K17877	0	0	4.30E-08	0	0	0
K00531	0	1.60E-08	2.13E-08	0	3.37E-08	5.13E-08
K00371	4.24E-05	3.31E-05	1.36E-05	1.81E-05	1.18E-05	3.02E-05
K00374	3.41E-05	2.57E-05	1.01E-05	1.56E-05	9.97E-06	2.44E-05
K10945	5.40E-07	3.28E-07	4.34E-06	4.58E-07	4.09E-07	1.27E-06
K00370	6.77E-05	4.99E-05	2.30E-05	2.83E-05	1.91E-05	5.56E-05
K01673	0.000391425	0.000360111	0.000337157	0.000358993	0.000401427	0.000367305
K00459	0.00020574	0.000228525	0.000222426	0.000223911	0.000213886	0.000202807
K00362	0.00025191	0.000295401	0.000473834	0.000423955	0.000385236	0.000336383
K10944	3.87E-07	3.09E-07	2.81E-06	3.35E-07	4.89E-07	1.31E-06
K00366	6.59E-07	7.96E-07	2.68E-06	7.61E-07	7.05E-07	1.66E-06
K20934	0	0	1.59E-08	0	0	3.04E-08
K00266	0.000255012	0.000293494	0.000301284	0.000284115	0.000281182	0.000303135
K00264	4.63E-08	1.88E-08	1.17E-07	6.87E-08	1.27E-08	6.12E-08
K10946	6.37E-07	3.07E-07	3.10E-06	5.27E-07	6.28E-07	1.86E-06
K01674	3.85E-05	3.28E-05	8.64E-05	5.68E-05	4.85E-05	3.82E-05
K15877	0	0	0	0	0	0
