TEJ	IND	MeanDecreaseAccuracy	MeanDecreaseGini	Phylum
Caldisericaceae	-1.41	-2.39	-2.72	0.09	Caldiserica
Francisellaceae	-2	-1.41	-2.09	0.03	Proteobacteria
Dermabacteraceae	0	-1.73	-1.74	0.04	Actinobacteria
Clostridiales_Incertae_Sedis_IV	-1.66	-0.87	-1.65	0.1	Parcubacteria
Oligoflexaceae	-1.12	-1.08	-1.63	0.22	Proteobacteria
Sandaracinaceae	-2.48	-0.57	-1.58	0.15	Proteobacteria
Pasteurellaceae	-0.05	-1.92	-1.45	0.1	Verrucomicrobia
Bacillales_incertae_sedis	0	-1.42	-1.42	0.04	Firmicutes
Bogoriellaceae	0	-1.38	-1.39	0.03	Actinobacteria
Erythrobacteraceae	-1.19	-0.69	-1.32	0.21	Proteobacteria
Thermodesulfobacteriaceae	-1.41	-0.94	-1.25	0.07	Proteobacteria
Flammeovirgaceae	-1.02	-0.63	-1.24	0.15	Bacteroidetes
Clostridiales_Incertae_Sedis_XI	-1	-0.78	-1.18	0.05	Firmicutes
Streptosporangiaceae	-0.09	-1.11	-1.03	0.11	Actinobacteria
Peptococcaceae_2	-1	0	-1	0.01	Firmicutes
Desulfomicrobiaceae	0	-1	-1	0	Verrucomicrobia
Acidaminococcaceae	0	-1	-1	0.04	Proteobacteria
Oxalobacteraceae	0.33	-1.74	-0.96	0.53	Verrucomicrobia
Gracilibacteraceae	-1.07	-0.37	-0.95	0.14	Firmicutes
Nitrospinaceae	1	-1.52	-0.89	0.02	Proteobacteria
Patulibacteraceae	0	-0.79	-0.8	0.05	Actinobacteria
Thermoactinomycetaceae_1	-0.77	-0.49	-0.79	0.12	Firmicutes
Phaselicystidaceae	-0.88	-0.55	-0.79	0.48	Proteobacteria
Clostridiales_Incertae_Sedis_XVII	-0.21	-0.85	-0.76	0.09	Firmicutes
Cryptosporangiaceae	-0.59	-0.39	-0.64	0.38	Actinobacteria
Rickettsiaceae	-1.37	0.49	-0.6	0.02	Proteobacteria
Vulgatibacteraceae	-0.89	-0.13	-0.56	0.29	Proteobacteria
Microbacteriaceae	-1.22	0.41	-0.5	0.4	Actinobacteria
Hydrogenophilaceae	0.59	-0.74	-0.5	0.1	Proteobacteria
Beijerinckiaceae	0.86	-1.26	-0.45	0.67	Proteobacteria
Dehalococcoidaceae	1.65	-2.57	-0.41	0.31	Chloroflexi
Campylobacteraceae	0.99	-1.07	-0.36	0.19	Proteobacteria
Thermogemmatisporaceae	1.3	-1.38	-0.3	0.26	Chloroflexi
Lactobacillaceae	0.71	-0.69	-0.23	0.12	Proteobacteria
Syntrophorhabdaceae	1.81	-1.77	-0.18	0.22	Proteobacteria
Helicobacteraceae	-1.16	0.7	-0.16	0.23	Proteobacteria
Aeromonadaceae	-0.49	0.43	-0.15	0.53	Verrucomicrobia
Planococcaceae	1.88	-1.52	-0.12	0.3	Firmicutes
Alcaligenaceae	0.42	-0.36	-0.12	0.39	Proteobacteria
Nautiliaceae	0.5	-0.54	-0.1	0.24	Proteobacteria
Leptotrichiaceae	1.19	-0.73	-0.1	0.22	Fusobacteria
Rhodocyclaceae	0.41	-0.38	-0.09	0.52	Proteobacteria
Armatimonadaceae	0.15	-0.03	-0.03	0.2	Armatimonadetes
Family_XII	0	-0.02	-0.03	0.01	Cyanobacteria
Rhodothermaceae	0	0	0	0	Bacteroidetes
Rubrobacteraceae	0	0	0	0.01	Proteobacteria
Oceanospirillaceae	0	0	0	0	Proteobacteria
Thermoactinomycetaceae_2	0	0	0	0	Firmicutes
Deferribacteraceae	0.02	0.01	0	0.06	Proteobacteria
Desulfurobacteriaceae	0	0	0	0	Parcubacteria
Pseudobacteriovoracaceae	0	0	0	0.01	Proteobacteria
Carnobacteriaceae	0	0	0	0	Firmicutes
Aquificales_incertae_sedis	0	0	0	0	Proteobacteria
Clostridiales_Incertae_Sedis_XVIII	0	0	0	0	Firmicutes
Family_XIII	0	0	0	0	Cyanobacteria
Glycomycetaceae	0	0	0	0	Actinobacteria
Bifidobacteriaceae	0	0	0	0	Proteobacteria
Family_IV	0	0	0	0	Cyanobacteria
Brucellaceae	0	0	0	0.02	Proteobacteria
Nitrososphaeraceae	0	0	0	0	Thaumarchaeota
Trueperaceae	0	0	0	0.02	Deinococcus-Thermus
Halomonadaceae	0	0	0	0	Parcubacteria
Brevinemataceae	0	0	0	0	Proteobacteria
Alcanivoracaceae	0	0	0	0	Proteobacteria
Synergistaceae	0	0	0	0.01	Proteobacteria
Thermithiobacillaceae	0	0	0	0	Proteobacteria
Acanthopleuribacteraceae	0	0	0	0	Acidobacteria
Acholeplasmataceae	0	0	0	0	Tenericutes
Thiotrichaceae	0	0	0	0	Proteobacteria
Rubritaleaceae	0	0	0	0	Proteobacteria
Salinisphaeraceae	0	0	0	0	Proteobacteria
Hahellaceae	0	0	0	0	Proteobacteria
Halanaerobiaceae	0	0	0	0.1	Proteobacteria
Thermotogaceae	0	0	0	0	Thermotogae
Kordiimonadaceae	0	0	0	0	Proteobacteria
Entomoplasmataceae	0	0	0	0	Tenericutes
Peptoniphilaceae	0	0	0	0	Firmicutes
Methanoregulaceae	0	0	0	0	Euryarchaeota
Chrysiogenaceae	0	0	0	0	Acidobacteria
Family_III	0	0	0	0	Cyanobacteria
Euzebyaceae	0	0	0	0	Actinobacteria
Dietziaceae	0	0	0	0	Actinobacteria
Nitriliruptoraceae	0	0	0	0	Actinobacteria
Deferribacterales_incertae_sedis	0	0	0	0	Acidobacteria
Nocardiopsaceae	0	0	0	0	Actinobacteria
Clostridiales_Incertae_Sedis_XIV	0	0	0	0	Firmicutes
Cohaesibacteraceae	0	0	0	0	Proteobacteria
Oligosphaeraceae	0	0	0	0	Proteobacteria
Bartonellaceae	0	0	0	0	Proteobacteria
Family_V	0	0	0	0	Cyanobacteria
Beutenbergiaceae	0	0	0	0	Actinobacteria
Hydrogenimonaceae	0	0	0	0	Proteobacteria
Family_VI	0	0	0	0	Cyanobacteria
Spiroplasmataceae	0	0	0	0	Firmicutes
Idiomarinaceae	0	0	0	0	Proteobacteria
Jonesiaceae	0	0	0	0	Actinobacteria
Family_IX	0	0	0	0	Cyanobacteria
Cardiobacteriaceae	0	0	0	0.01	Proteobacteria
Clostridiaceae_2	-1	1	0.04	0.03	Firmicutes
Ectothiorhodospiraceae	1	-0.19	0.07	0.02	Proteobacteria
Hyphomonadaceae	0.65	-0.33	0.08	0.23	Proteobacteria
Saprospiraceae	1.17	-0.49	0.14	0.24	Bacteroidetes
Syntrophomonadaceae	1.61	-1.13	0.16	0.19	Firmicutes
Thermaceae	0.12	0.14	0.18	0.11	Proteobacteria
Chthonomonadaceae	-0.1	0.18	0.18	0.11	Armatimonadetes
Syntrophobacteraceae	-0.96	0.81	0.2	0.69	Proteobacteria
Mycoplasmataceae	-0.51	0.69	0.2	0.44	Parcubacteria
Methylophilaceae	0.05	0.3	0.23	0.42	Proteobacteria
Coxiellaceae	-0.12	0.42	0.29	0.12	Proteobacteria
Deinococcaceae	-1.97	1.76	0.33	0.32	Proteobacteria
Enterococcaceae	1.41	-0.42	0.33	0.05	Acidobacteria
Myxococcaceae	-0.39	0.83	0.37	0.26	Proteobacteria
Cytophagaceae	-1.3	1.25	0.39	0.33	Bacteroidetes
Acidithiobacillaceae	2.01	-0.87	0.39	0.4	Acidobacteria
Ardenticatenaceae	0.67	-0.07	0.4	0.44	Chloroflexi
Thermoanaerobacteraceae	1.82	-1.71	0.41	0.16	Proteobacteria
Desulfohalobiaceae	1.6	-1.43	0.46	0.22	Proteobacteria
Ktedonobacteraceae	1.58	-0.43	0.49	0.27	Chloroflexi
Parachlamydiaceae	1.23	-0.27	0.5	0.21	Chlamydiae
Catabacteriaceae	1.01	-0.28	0.53	0.17	Firmicutes
Cyclobacteriaceae	0.52	0.39	0.56	0.15	Proteobacteria
Chlamydiaceae	0.17	0.58	0.57	0.15	Chlamydiae
Thermoleophilaceae	1.77	-0.27	0.58	0.24	Firmicutes
Roseiarcaceae	1.83	-0.5	0.6	0.23	Proteobacteria
Streptococcaceae	-0.75	1.24	0.61	0.19	Firmicutes
Cellulomonadaceae	-0.02	0.73	0.62	0.44	Actinobacteria
Sinobacteraceae	-0.65	1.5	0.63	0.42	Proteobacteria
