num	err.mean	err.1	err.2	err.3	err.4	err.5
274	274	0.179432624113475	0.184397163120567	0.177304964539007	0.173758865248227	0.191489361702128	0.170212765957447
247	247	0.178723404255319	0.187943262411348	0.177304964539007	0.184397163120567	0.180851063829787	0.163120567375887
222	222	0.174468085106383	0.173758865248227	0.163120567375887	0.173758865248227	0.184397163120567	0.177304964539007
200	200	0.174468085106383	0.184397163120567	0.170212765957447	0.166666666666667	0.187943262411348	0.163120567375887
180	180	0.171631205673759	0.170212765957447	0.163120567375887	0.163120567375887	0.187943262411348	0.173758865248227
162	162	0.171631205673759	0.166666666666667	0.170212765957447	0.170212765957447	0.180851063829787	0.170212765957447
146	146	0.172340425531915	0.187943262411348	0.163120567375887	0.156028368794326	0.191489361702128	0.163120567375887
131	131	0.168794326241135	0.177304964539007	0.163120567375887	0.156028368794326	0.191489361702128	0.156028368794326
118	118	0.172340425531915	0.177304964539007	0.166666666666667	0.166666666666667	0.184397163120567	0.166666666666667
106	106	0.169503546099291	0.180851063829787	0.177304964539007	0.152482269503546	0.180851063829787	0.156028368794326
96	96	0.175177304964539	0.180851063829787	0.173758865248227	0.166666666666667	0.191489361702128	0.163120567375887
86	86	0.167375886524823	0.166666666666667	0.166666666666667	0.156028368794326	0.180851063829787	0.166666666666667
77	77	0.173049645390071	0.177304964539007	0.170212765957447	0.166666666666667	0.184397163120567	0.166666666666667
70	70	0.165248226950355	0.166666666666667	0.170212765957447	0.156028368794326	0.177304964539007	0.156028368794326
63	63	0.166666666666667	0.173758865248227	0.163120567375887	0.156028368794326	0.177304964539007	0.163120567375887
56	56	0.168085106382979	0.180851063829787	0.159574468085106	0.159574468085106	0.184397163120567	0.156028368794326
51	51	0.162411347517731	0.163120567375887	0.166666666666667	0.159574468085106	0.166666666666667	0.156028368794326
46	46	0.169503546099291	0.166666666666667	0.173758865248227	0.159574468085106	0.180851063829787	0.166666666666667
41	41	0.170212765957447	0.170212765957447	0.173758865248227	0.173758865248227	0.177304964539007	0.156028368794326
37	37	0.164539007092199	0.163120567375887	0.177304964539007	0.156028368794326	0.170212765957447	0.156028368794326
33	33	0.168085106382979	0.170212765957447	0.156028368794326	0.177304964539007	0.170212765957447	0.166666666666667
30	30	0.168794326241135	0.163120567375887	0.163120567375887	0.173758865248227	0.163120567375887	0.180851063829787
27	27	0.164539007092199	0.163120567375887	0.159574468085106	0.166666666666667	0.166666666666667	0.166666666666667
24	24	0.170212765957447	0.166666666666667	0.166666666666667	0.170212765957447	0.166666666666667	0.180851063829787
22	22	0.166666666666667	0.170212765957447	0.156028368794326	0.170212765957447	0.170212765957447	0.166666666666667
20	20	0.168794326241135	0.166666666666667	0.166666666666667	0.177304964539007	0.159574468085106	0.173758865248227
18	18	0.165957446808511	0.156028368794326	0.166666666666667	0.173758865248227	0.163120567375887	0.170212765957447
16	16	0.175886524822695	0.163120567375887	0.187943262411348	0.187943262411348	0.166666666666667	0.173758865248227
14	14	0.178014184397163	0.170212765957447	0.187943262411348	0.180851063829787	0.173758865248227	0.177304964539007
13	13	0.179432624113475	0.173758865248227	0.195035460992908	0.180851063829787	0.184397163120567	0.163120567375887
12	12	0.187943262411348	0.184397163120567	0.198581560283688	0.191489361702128	0.191489361702128	0.173758865248227
10	10	0.19290780141844	0.177304964539007	0.223404255319149	0.198581560283688	0.198581560283688	0.166666666666667
9	9	0.19290780141844	0.187943262411348	0.219858156028369	0.205673758865248	0.184397163120567	0.166666666666667
8	8	0.202836879432624	0.195035460992908	0.23758865248227	0.223404255319149	0.184397163120567	0.173758865248227
7	7	0.213475177304965	0.198581560283688	0.24468085106383	0.24468085106383	0.184397163120567	0.195035460992908
6	6	0.209219858156028	0.195035460992908	0.219858156028369	0.24822695035461	0.191489361702128	0.191489361702128
5	5	0.216312056737589	0.212765957446809	0.223404255319149	0.23758865248227	0.202127659574468	0.205673758865248
4	4	0.224822695035461	0.234042553191489	0.25177304964539	0.234042553191489	0.219858156028369	0.184397163120567
3	3	0.246099290780142	0.234042553191489	0.24113475177305	0.276595744680851	0.25886524822695	0.219858156028369
2	2	0.263829787234043	0.25886524822695	0.25531914893617	0.24468085106383	0.301418439716312	0.25886524822695
1	1	0.345390070921986	0.368794326241135	0.329787234042553	0.365248226950355	0.301418439716312	0.361702127659574
