TEJ	IND	MeanDecreaseAccuracy	MeanDecreaseGini
Caldisericaceae	-1.41	-2.39	-2.72	0.09
Francisellaceae	-2	-1.41	-2.09	0.03
Dermabacteraceae	0	-1.73	-1.74	0.04
Clostridiales_Incertae_Sedis_IV	-1.66	-0.87	-1.65	0.1
Oligoflexaceae	-1.12	-1.08	-1.63	0.22
Sandaracinaceae	-2.48	-0.57	-1.58	0.15
Pasteurellaceae	-0.05	-1.92	-1.45	0.1
Bacillales_incertae_sedis	0	-1.42	-1.42	0.04
Bogoriellaceae	0	-1.38	-1.39	0.03
Erythrobacteraceae	-1.19	-0.69	-1.32	0.21
Thermodesulfobacteriaceae	-1.41	-0.94	-1.25	0.07
Flammeovirgaceae	-1.02	-0.63	-1.24	0.15
Clostridiales_Incertae_Sedis_XI	-1	-0.78	-1.18	0.05
Streptosporangiaceae	-0.09	-1.11	-1.03	0.11
Peptococcaceae_2	-1	0	-1	0.01
Desulfomicrobiaceae	0	-1	-1	0
Acidaminococcaceae	0	-1	-1	0.04
Oxalobacteraceae	0.33	-1.74	-0.96	0.53
Gracilibacteraceae	-1.07	-0.37	-0.95	0.14
Nitrospinaceae	1	-1.52	-0.89	0.02
Patulibacteraceae	0	-0.79	-0.8	0.05
Thermoactinomycetaceae_1	-0.77	-0.49	-0.79	0.12
Phaselicystidaceae	-0.88	-0.55	-0.79	0.48
Clostridiales_Incertae_Sedis_XVII	-0.21	-0.85	-0.76	0.09
Cryptosporangiaceae	-0.59	-0.39	-0.64	0.38
Rickettsiaceae	-1.37	0.49	-0.6	0.02
Vulgatibacteraceae	-0.89	-0.13	-0.56	0.29
Microbacteriaceae	-1.22	0.41	-0.5	0.4
Hydrogenophilaceae	0.59	-0.74	-0.5	0.1
Beijerinckiaceae	0.86	-1.26	-0.45	0.67
Dehalococcoidaceae	1.65	-2.57	-0.41	0.31
Campylobacteraceae	0.99	-1.07	-0.36	0.19
Thermogemmatisporaceae	1.3	-1.38	-0.3	0.26
Lactobacillaceae	0.71	-0.69	-0.23	0.12
Syntrophorhabdaceae	1.81	-1.77	-0.18	0.22
Helicobacteraceae	-1.16	0.7	-0.16	0.23
Aeromonadaceae	-0.49	0.43	-0.15	0.53
Planococcaceae	1.88	-1.52	-0.12	0.3
Alcaligenaceae	0.42	-0.36	-0.12	0.39
Nautiliaceae	0.5	-0.54	-0.1	0.24
Leptotrichiaceae	1.19	-0.73	-0.1	0.22
Rhodocyclaceae	0.41	-0.38	-0.09	0.52
Armatimonadaceae	0.15	-0.03	-0.03	0.2
Family_XII	0	-0.02	-0.03	0.01
Rhodothermaceae	0	0	0	0
Rubrobacteraceae	0	0	0	0.01
Oceanospirillaceae	0	0	0	0
Thermoactinomycetaceae_2	0	0	0	0
Deferribacteraceae	0.02	0.01	0	0.06
Desulfurobacteriaceae	0	0	0	0
Pseudobacteriovoracaceae	0	0	0	0.01
Carnobacteriaceae	0	0	0	0
Aquificales_incertae_sedis	0	0	0	0
Clostridiales_Incertae_Sedis_XVIII	0	0	0	0
Family_XIII	0	0	0	0
Glycomycetaceae	0	0	0	0
Bifidobacteriaceae	0	0	0	0
Family_IV	0	0	0	0
Brucellaceae	0	0	0	0.02
Nitrososphaeraceae	0	0	0	0
Trueperaceae	0	0	0	0.02
Halomonadaceae	0	0	0	0
Brevinemataceae	0	0	0	0
Alcanivoracaceae	0	0	0	0
Synergistaceae	0	0	0	0.01
Thermithiobacillaceae	0	0	0	0
Acanthopleuribacteraceae	0	0	0	0
Acholeplasmataceae	0	0	0	0
Thiotrichaceae	0	0	0	0
Rubritaleaceae	0	0	0	0
Salinisphaeraceae	0	0	0	0
Hahellaceae	0	0	0	0
Halanaerobiaceae	0	0	0	0.1
Thermotogaceae	0	0	0	0
Kordiimonadaceae	0	0	0	0
Entomoplasmataceae	0	0	0	0
Peptoniphilaceae	0	0	0	0
Methanoregulaceae	0	0	0	0
Chrysiogenaceae	0	0	0	0
Family_III	0	0	0	0
Euzebyaceae	0	0	0	0
Dietziaceae	0	0	0	0
Nitriliruptoraceae	0	0	0	0
Deferribacterales_incertae_sedis	0	0	0	0
Nocardiopsaceae	0	0	0	0
Clostridiales_Incertae_Sedis_XIV	0	0	0	0
Cohaesibacteraceae	0	0	0	0
Oligosphaeraceae	0	0	0	0
Bartonellaceae	0	0	0	0
Family_V	0	0	0	0
Beutenbergiaceae	0	0	0	0
Hydrogenimonaceae	0	0	0	0
Family_VI	0	0	0	0
Spiroplasmataceae	0	0	0	0
Idiomarinaceae	0	0	0	0
Jonesiaceae	0	0	0	0
Family_IX	0	0	0	0
Cardiobacteriaceae	0	0	0	0.01
Clostridiaceae_2	-1	1	0.04	0.03
Ectothiorhodospiraceae	1	-0.19	0.07	0.02
Hyphomonadaceae	0.65	-0.33	0.08	0.23
Saprospiraceae	1.17	-0.49	0.14	0.24
Syntrophomonadaceae	1.61	-1.13	0.16	0.19
Thermaceae	0.12	0.14	0.18	0.11
Chthonomonadaceae	-0.1	0.18	0.18	0.11
Syntrophobacteraceae	-0.96	0.81	0.2	0.69
Mycoplasmataceae	-0.51	0.69	0.2	0.44
Methylophilaceae	0.05	0.3	0.23	0.42
Coxiellaceae	-0.12	0.42	0.29	0.12
Deinococcaceae	-1.97	1.76	0.33	0.32
Enterococcaceae	1.41	-0.42	0.33	0.05
Myxococcaceae	-0.39	0.83	0.37	0.26
Cytophagaceae	-1.3	1.25	0.39	0.33
Acidithiobacillaceae	2.01	-0.87	0.39	0.4
Ardenticatenaceae	0.67	-0.07	0.4	0.44
Thermoanaerobacteraceae	1.82	-1.71	0.41	0.16
Desulfohalobiaceae	1.6	-1.43	0.46	0.22
Ktedonobacteraceae	1.58	-0.43	0.49	0.27
Parachlamydiaceae	1.23	-0.27	0.5	0.21
Catabacteriaceae	1.01	-0.28	0.53	0.17
Cyclobacteriaceae	0.52	0.39	0.56	0.15
Chlamydiaceae	0.17	0.58	0.57	0.15
Thermoleophilaceae	1.77	-0.27	0.58	0.24
Roseiarcaceae	1.83	-0.5	0.6	0.23
Streptococcaceae	-0.75	1.24	0.61	0.19
Cellulomonadaceae	-0.02	0.73	0.62	0.44
Sinobacteraceae	-0.65	1.5	0.63	0.42
Family_I	0.7	0.1	0.63	0.17
Peptostreptococcaceae	0.64	0.3	0.63	0.43
Desulfobacteraceae	-0.67	1.56	0.65	0.77
Gallionellaceae	1.02	-0.1	0.65	0.55
Flavobacteriaceae	-0.32	0.68	0.68	0.36
Elusimicrobiaceae	1.16	-0.28	0.72	0.13
Fimbriimonadaceae	0.48	0.71	0.75	0.63
Fibrobacteraceae	-0.89	1.61	0.77	0.2
Desulfurellaceae	1	0.43	0.78	0.05
Clostridiaceae_1	0.29	0.71	0.79	0.69
Chitinophagaceae	0.12	0.64	0.79	0.37
Alicyclobacillaceae	1.19	0.09	0.79	0.44
Candidatus_Brocadiaceae	-1	1.03	0.81	0.07
Leptospiraceae	-0.37	1.18	0.83	0.46
Actinospicaceae	1.11	0.27	0.85	0.1
Herpetosiphonaceae	2.16	0.04	0.89	0.26
Catenulisporaceae	3.21	-1.09	0.95	0.49
Micrococcaceae	-1.19	2.23	0.97	0.53
Fusobacteriaceae	0.97	0.49	1	0.51
Aurantimonadaceae	1	1	1	0.01
Erysipelotrichaceae	0	1	1	0.03
Moraxellaceae	0	1	1	0
Waddliaceae	0	1	1	0.02
Shewanellaceae	0	1	1	0.02
Anaplasmataceae	0	1.03	1.01	0.04
Demequinaceae	-0.23	1.47	1.02	0.3
Family_VIII	-1	1.74	1.02	0.07
Comamonadaceae	2.77	-0.6	1.04	0.67
Thermosporotrichaceae	1.3	0.41	1.07	0.31
Family_X	-1.69	2.32	1.08	0.53
Corynebacteriaceae	0.92	0.88	1.12	0.11
Sphaerobacteraceae	0.8	0.87	1.13	0.2
Pseudonocardiaceae	1.65	0.1	1.14	0.5
Thermolithobacteraceae	1.65	-0.29	1.14	0.02
Chlorobiaceae	1.59	0.13	1.16	0.32
Sneathiellaceae	-0.13	1.2	1.17	0.36
Thermomonosporaceae	1.62	0.12	1.19	0.74
Opitutaceae	-0.41	1.49	1.19	0.36
Pseudomonadaceae	1.97	0.2	1.28	0.73
Actinomycetaceae	2.02	0.21	1.29	0.31
Desulfarculaceae	1.63	0.78	1.3	0.33
Nannocystaceae	0.9	1.06	1.31	0.51
Rhizobiales_incertae_sedis	1.8	0.09	1.32	0.44
Piscirickettsiaceae	1.67	0.71	1.34	0.22
Eubacteriaceae	-0.11	1.85	1.35	0.65
Desulfonatronaceae	1	1	1.36	0.03
Haliangiaceae	1.39	0.72	1.38	0.82
Anaerolineaceae	2.49	-0.58	1.39	0.58
Nakamurellaceae	-0.8	2.47	1.39	0.22
Promicromonosporaceae	1.19	1.1	1.4	0.05
Dermacoccaceae	1.66	0	1.4	0.06
Bacillales_Incertae_Sedis_XII	1.32	0.66	1.43	0.49
Mycobacteriaceae	-0.64	1.99	1.43	0.63
Thioalkalispiraceae	1.74	0.44	1.43	0.56
Rhodobacteraceae	2.14	0.4	1.45	0.65
