TEJ	IND	MeanDecreaseAccuracy	MeanDecreaseGini
Acidimicrobiaceae	-1	2.37	1.48	0.64
Verrucomicrobiaceae	1.91	0.3	1.51	0.36
Bacillaceae_1	0.68	1.29	1.52	1.03
Xanthomonadaceae	0.72	1.17	1.58	0.59
Hyphomicrobiaceae	-1.4	2.5	1.58	0.54
Streptomycetaceae	2.25	-0.01	1.61	0.48
Bacteriovoracaceae	0.14	1.24	1.61	0.12
Staphylococcaceae	0.53	1.49	1.61	0.24
Planctomycetaceae	-0.25	1.93	1.62	0.8
Pseudomonadales_incertae_sedis	0	1.67	1.65	0.04
Bacillaceae_2	2.67	-0.49	1.67	0.33
Oscillochloridaceae	1.58	0.84	1.69	0.18
Acidothermaceae	1.47	0.85	1.69	0.12
Prevotellaceae	2.43	0.87	1.72	0.32
Porphyromonadaceae	0.97	1.5	1.74	0.62
Clostridiaceae_4	1.42	1	1.74	0.01
Brevibacteriaceae	0	1.73	1.74	0.04
Sphingobacteriaceae	1.38	1.04	1.75	0.28
Enterobacteriaceae	-0.23	2.15	1.76	0.73
Dictyoglomaceae	1.11	1.7	1.76	0.06
Clostridiales_Incertae_Sedis_XIII	1.88	0.81	1.76	0.19
Bdellovibrionaceae	0.7	1.25	1.84	0.16
Heliobacteriaceae	1.74	1.4	1.86	0.19
Chromatiaceae	-1.29	2.73	1.94	0.22
Bacteroidaceae	-1.18	2.91	1.94	0.72
Micromonosporaceae	-0.26	2.45	1.95	0.74
Chloroflexaceae	2.36	0.23	1.98	0.6
Legionellaceae	1.66	0.88	2.09	0.17
Methylococcaceae	1.97	1.58	2.1	1.03
Neisseriaceae	0.06	2.35	2.11	0.58
Dermatophilaceae	1.86	1.34	2.17	0.65
Unassigned	1.12	1.69	2.21	0.69
Acidimicrobineae_incertae_sedis	1.95	0.73	2.21	0.46
Phycisphaeraceae	0.86	2.24	2.25	0.15
Hydrogenothermaceae	2.18	1.89	2.29	0.2
Geodermatophilaceae	1.24	1.87	2.3	0.65
Lachnospiraceae	1.66	1.99	2.33	0.5
Tepidisphaeraceae	2.22	1.64	2.33	0.06
Nocardioidaceae	1.81	1.62	2.34	0.56
Alteromonadaceae	2.25	1.6	2.34	0.55
Xanthobacteraceae	2.85	0.1	2.42	0.89
Caulobacteraceae	0.35	2.7	2.47	0.71
Nocardiaceae	2.58	0.68	2.48	0.26
Labilitrichaceae	1.87	1.94	2.58	0.31
Propionibacteriaceae	2.33	1.3	2.61	0.51
Vibrionaceae	2.73	0.34	2.67	0.15
Gemmatimonadaceae	2.98	0.87	2.74	0.58
Marinilabiliaceae	0.33	2.81	2.77	0.65
Iamiaceae	1.62	2.26	2.81	0.34
Conexibacteraceae	2.92	0.75	2.87	0.83
Clostridiales_Incertae_Sedis_XII	2.99	1.63	2.89	0.78
Spirochaetaceae	0.81	2.6	2.91	0.84
Methylobacteriaceae	1.6	2.7	2.98	1
Rhizobiaceae	3.01	1.02	2.98	0.68
Ruminococcaceae	0.52	3.4	3.05	1.04
Rikenellaceae	3.69	0.92	3.05	0.75
Caldilineaceae	1.86	2.49	3.3	1.07
Sphingomonadaceae	1.85	2.87	3.33	0.66
Nitrosomonadaceae	3.47	2.53	3.43	0.62
Paenibacillaceae_2	2.7	2.65	3.59	1.27
Bradyrhizobiaceae	4.28	0.47	3.63	1.02
Chloroplast	1.99	3.25	3.63	0.74
Sulfuricellaceae	2.74	3.04	3.73	1.28
Thermomicrobiaceae	3.21	2.54	3.76	0.86
Rhodospirillaceae	4.18	1.23	3.86	1.32
Acetobacteraceae	1.52	2.82	3.9	0.66
Intrasporangiaceae	1.74	3.03	4.01	0.52
Gaiellaceae	2.09	3.8	4.14	1.03
Solirubrobacteraceae	3.52	2.36	4.23	1.12
Veillonellaceae	4.38	2.04	4.29	1.43
Burkholderiales_incertae_sedis	4.41	2.53	4.32	1.32
Rhodobiaceae	4.7	0.6	4.35	1.61
Prolixibacteraceae	1.1	4.02	4.39	1.16
Cryomorphaceae	3.9	2.83	4.44	1.06
Peptococcaceae_1	5.1	1.19	4.51	1.62
Phyllobacteriaceae	3.39	3.75	4.52	1.19
Kineosporiaceae	5.05	1.74	4.82	1.93
Desulfobulbaceae	3.56	4.21	5.13	1.58
Ignavibacteriaceae	4.49	3.53	5.14	1.37
Methylocystaceae	4	3.72	5.24	1.65
Polyangiaceae	5.01	3.98	5.26	1.33
Syntrophaceae	3.64	4.23	5.39	1.59
Burkholderiaceae	4.91	3.24	5.6	1.63
Coriobacteriaceae	3.68	4.43	5.84	1.87
Holophagaceae	3.12	5.84	5.87	0.98
Desulfovibrionaceae	4.47	4.82	6.04	2.01
Geobacteraceae	3.3	5.26	6.06	1.96
Cystobacteraceae	5.54	4.29	6.49	1.94
Clostridiales_Incertae_Sedis_III	7.3	2.36	6.79	2.13
Nitrospiraceae	5.98	4.33	6.98	3.22
Paenibacillaceae_1	7.81	3.32	7.6	2.86
Desulfuromonadaceae	7.17	7.27	8.79	3.76
