Xylanolysis	Cellulolysis	Sulfur respiration	Sulfur oxidation	Hydrogen oxidation	Nitrate ammonification	Nitrite ammonification	Nitrate respiration	Nitrite respiration	Nitrogen respiration	Manganese respiration	Iron respiration	Arsenate respiration	Fumarate respiration	Hydrocarbon degradation	Aromatic degradation	Fermentation
OTU_119	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1
OTU_47	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU_144	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_2397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_348	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_841	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1
OTU_4306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_587	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
OTU_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1517	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU_791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_310	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU_861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_675	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_81	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0
OTU_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_169	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0
OTU_786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_30	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0
OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_61	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0
OTU_66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_2378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_121	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1
OTU_11	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0
OTU_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_316	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1954	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0
OTU_350	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0
OTU_528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_406	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1
OTU_236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_386	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
OTU_142	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_37	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU_138	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_243	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1
OTU_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
