OTUID	1	2	3	7	10	14	21	28	35	42	49	63	70	77	84	91	98	112	119
OTU_81	0.073	0.385	0.331	3.931	5.711	8.21	11.457	27.737	22.729	35.81	36.39	37.279	51.34	50.885	49.12	87.029	82.718	86.768	65.387
OTU_169	0	0	0	0.043	0.078	0.384	0.077	1.177	0.717	3.008	4.021	5.208	12.76	11.652	11.255	17.511	14.819	17.074	16.276
OTU_48	0.226	0.089	0.111	0.497	2.978	1.979	4.749	29.343	20.317	36.446	37.702	30.481	52.338	70.909	53.651	48.782	69.322	73.085	67.144
OTU_68	0.571	0.739	0.415	3.169	16.412	20.038	14.175	28.318	23.967	52.276	77.529	66.813	88.547	71.968	74.777	118.117	100.035	121.753	89.467
OTU_37	0.165	0.447	0.132	0.479	0.59	0.26	0.572	7.363	3.831	20.518	26.101	33.638	67.436	67.868	68.139	128.243	179.445	201.398	186.733
OTU_8	0.113	0.472	0.168	0.836	7	2.007	10.221	122.276	69.216	445.594	375.125	402.154	870.501	908.502	573.871	1087.239	812.886	746.719	669.852
OTU_142	0	0	0	0.051	0	0	0.23	0.286	0.088	0.165	1.324	5.713	7.904	25.804	26.788	45.086	37.408	62.087	70.169
OTU_9	0.122	1.527	0.826	13.99	65.232	24.052	48.116	120.332	50.886	73.361	151.671	160.114	186.157	232.283	128.082	223.824	174.536	180.524	184.691
OTU_115	0.55	0.596	0.441	0.535	3.237	4.717	4.088	1.962	2.327	5.477	6.062	11.353	14.506	26.826	20.091	18.139	17.061	14.556	20.272
OTU_138	0.153	0.052	0.238	1.199	6.864	0.691	4.89	30.44	8.526	7.088	15.986	21.011	31.258	32.809	27.305	68.815	85.915	96.938	133.111
OTU_61	0.129	0.083	0.037	0.191	0.204	0	0.249	0.987	1.025	1.57	3.135	2.729	1.946	4.923	2.5	6.034	3.308	3.133	4.893
OTU_786	0.113	0.279	0.034	0	0	0	0.049	0.8	0.219	0	0.613	0.615	1.385	1.394	0.858	3.53	2.15	2.421	1.733
OTU_30	0.115	0.61	0.538	4.828	15.116	9.155	37.713	85.312	128.176	103.9	234.62	182.584	138.171	236.858	146.817	358.96	265.66	234.979	136.422
OTU_1954	0.58	0.369	0.571	1.044	2.891	2.193	6.068	46.073	39.374	54.789	60.713	81.134	172.407	132.672	78.64	106.324	135.737	90.161	67.259
OTU_2378	0	0.134	0.089	0.044	0	0	0.503	0.457	0	0.182	0.15	0.457	0.526	0.729	0.297	0.269	0.619	1.054	0.847
OTU_620	0	0.042	0.155	0.163	0	0.136	0.502	0.847	0.387	0.253	0.264	0.322	0.699	0.693	0.53	0.492	0.645	1.03	0.855
OTU_316	0.049	0.204	0.235	1.659	1.927	3.419	1.168	2.668	7.033	4.084	5.667	4.55	6.246	9.099	8.431	8.838	6.769	5.372	5.378
OTU_121	0	0	0	0	0	0.127	0.045	0.03	0.656	1.435	1.044	0.788	0.588	0.866	0.652	1.423	1.032	1.109	0.923
OTU_102	0.993	0.765	0.306	0.428	0.209	0.117	0.302	7.372	5.144	5.12	15.531	34.075	106.58	86.418	37.917	36.148	35.483	59.246	81.512
OTU_109	0.193	0.344	1.168	8.963	1.218	2.478	0.628	1.405	0.66	0.282	0.563	1.359	6.391	7.742	6.801	6.673	11.454	13.843	13.958
OTU_47	0.831	1.518	2.298	10.281	9.48	9.786	4.449	5.745	15.319	29.946	36.256	40.753	51.803	88.198	68.301	32.677	44.627	56.819	28.847
