Aerobic ammonia oxidation	Aerobic anoxygenic phototrophy	Aerobic chemoheterotrophy	Aerobic nitrite oxidation	Aliphatic non methane hydrocarbon degradation	Animal parasites or symbionts	Anoxygenic photoautotrophy	Anoxygenic photoautotrophy H2 oxidizing	Anoxygenic photoautotrophy S oxidizing	Aromatic compound degradation	Aromatic hydrocarbon degradation	Arsenate detoxification	Arsenate respiration	Arsenite oxidation detoxification	Cellulolysis	Chemoheterotrophy	Chitinolysis	Chlorate reducers	Chloroplasts	Cyanobacteria	Hydrogen oxidation	Iron oxidation	Oxidation of sulfur compounds	Sulfide oxidation	Sulfite oxidation	Sulfur oxidation	Thiosulfate oxidation	Denitrification	Dissimilatory arsenate reduction	Dissimilatory arsenite oxidation	Fermentation	Fumarate respiration	Human gut	Human pathogens all	Human pathogens diarrhea	Human pathogens gastroenteritis	Human pathogens nosocomia	Human pathogens pneumonia	Human pathogens septicemia	Hydrocarbon degradation	Hydrogenotrophic methanogenesis	Intracellular parasites	Invertebrate parasites	Iron respiration	Knallgas bacteria	Ligninolysis	Mammal gut	Manganese oxidation	Manganese respiration	Methanogenesis	Methanogenesis by CO2 reduction with H2	Methanogenesis using formate	Methanol oxidation	Methanotrophy	Methylotrophy	Nitrate ammonification	Nitrate denitrification	Nitrate reduction	Nitrate respiration	Nitrification	Nitrite ammonification	Nitrite denitrification	Nitrite respiration	Nitrogen fixation	Nitrogen respiration	Nitrous oxide denitrification	Oil bioremediation	Oxygenic photoautotrophy	Photoautotrophy	Photoheterotrophy	Phototrophy	Plant pathogen	Plastic degradation	Predatory or exoparasitic	Reductive acetogenesis	Respiration of sulfur compounds	Sulfate respiration	Sulfite respiration	Sulfur respiration	Thiosulfate respiration	Ureolysis	Xylanolysis
OTU_128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_152	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU_25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
