	nitrate_ammonification	nitrite_ammonification	nitrate_respiration	nitrite_respiration	nitrogen_respiration
OTU_11	1	1	1	1	1
OTU_119	0	0	1	0	1
OTU_121	0	0	0	1	1
OTU_138	0	0	1	1	1
OTU_1517	0	0	1	0	1
OTU_195	0	0	1	0	1
OTU_1954	1	1	1	1	1
OTU_201	0	0	1	0	1
OTU_243	0	0	1	0	1
OTU_30	0	0	1	1	1
OTU_310	0	0	1	0	1
OTU_340	0	0	1	0	1
OTU_350	1	1	1	1	1
OTU_406	0	0	0	1	1
OTU_506	0	0	1	0	1
OTU_529	0	0	1	0	1
OTU_587	0	0	1	0	1
OTU_61	0	0	1	0	1
OTU_8	1	1	1	1	1
OTU_81	0	0	1	0	1
OTU_888	0	0	1	0	1
