OTUID	Mean	Taxonomy
OTU_1667	0.009	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Niastella;s__Niastella_koreensis
OTU_1669	0.003	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo_indianensis
OTU_1670	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_III;s__Anaerobacterium_chartisolvens
OTU_1672	0.011	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Thermogemmatisporaceae;g__Thermogemmatispora;s__Thermosporothrix_hazakensis
OTU_1673	0.004	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Acidaminobacter;s__Acidaminobacter_hydrogenoformans
OTU_1674	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;s__Marinobacter_persicus
OTU_1675	0.006	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema_zuelzerae
OTU_1676	0.004	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalicibacterium;s__Oxalicibacterium_horti
OTU_1677	0.001	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Elizabethkingia;s__Elizabethkingia_meningoseptica
OTU_1678	0.002	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Demequina;s__Leifsonia_xyli_subsp._cynodontis
OTU_1679	0.003	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila_globiformis
OTU_1680	0.001	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Leptospiraceae;g__Leptospira;s__Leptospira_kirschneri
OTU_1681	0.002	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU_1682	0.002	k__Bacteria;p__Proteobacteria;c__Deinococci;o__Deinococcales;f__Verrucomicrobiaceae;g__Saccharibacteria_genera_incertae_sedis;s__Truepera_radiovictrix
OTU_1683	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas_taiwanensis
OTU_1684	0.003	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Prolixibacter;s__Prolixibacter_bellariivorans
OTU_1685	0.002	k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Thermorudis;s__Thermorudis_peleae
OTU_1688	0.002	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalobacter;s__Thiohalobacter_thiocyanaticus
OTU_1689	0.009	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Psychrosinus;s__Anaeromusa_acidaminophila
OTU_1690	0.002	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alteromonadaceae;g__Saccharibacteria_genera_incertae_sedis;s__Venenivibrio_stagnispumantis
OTU_1691	0.003	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Fervidicella;s__Fervidicella_metallireducens
OTU_1692	0.002	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Clostridiales;f__Desulfurellaceae;g__Gp7;s__Thermaerobacter_nagasakiensis
OTU_1695	0.002	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Sporotomaculum_hydroxybenzoicum
OTU_1696	0.002	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Roseiflexus;s__Roseiflexus_castenholzii
OTU_1697	0.012	k__Bacteria;p__Verrucomicrobia;c__Subdivision3;g__Subdivision3_genera_incertae_sedis
OTU_1698	0.002	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Mucinivorans;s__Mucinivorans_hirudinis
OTU_1699	0.002	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Deferribacteraceae;g__Deferribacter;s__Desulfovibrio_litoralis
OTU_1700	0.002	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3;s__Bryobacter_aggregatus
OTU_1701	0.006	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XII;g__Fusibacter;s__Anaerovorax_odorimutans
OTU_1702	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalobacter;s__Thiohalobacter_thiocyanaticus
OTU_1703	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Coriobacteriaceae;g__Streptomyces;s__Slackia_isoflavoniconvertens
OTU_1704	0.028	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Azospira;s__Azospira_oryzae
OTU_1705	0.002	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_varium
OTU_1706	0.002	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter;s__Ilumatobacter_fluminis
OTU_1707	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas_carbonis
OTU_1708	0.003	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Thermomicrobium;s__Thermomicrobium_roseum
OTU_1709	0.003	k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi
OTU_1710	0.002	k__Bacteria;p__Parcubacteria;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Parcubacteria_genera_incertae_sedis;s__Lactobacillus_secaliphilus
OTU_1711	0.004	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Fervidicella;s__Fervidicella_metallireducens
OTU_1713	0.002	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Angustibacter;s__Angustibacter_peucedani
OTU_1714	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__Amaricoccus_kaplicensis
OTU_1715	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae;g__Nannocystis;s__Nannocystis_exedens
OTU_1716	0.002	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Nitratifractor;s__Nitratifractor_salsuginis
OTU_1717	0.001	k__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales;f__Ardenticatenaceae;g__Ardenticatena;s__Ardenticatena_maritima
OTU_1718	0.002	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Parafilimonas;s__Parafilimonas_terrae
OTU_1719	0.004	k__Bacteria;p__Chloroflexi;c__Deltaproteobacteria;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Thermomicrobium;s__Desulfocurvus_thunnarius
OTU_1720	0.004	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Mycetocola;s__Mycetocola_zhadangensis
OTU_1721	0.003	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae;g__Nakamurella;s__Nakamurella_multipartita
OTU_1722	0.002	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__Haliscomenobacter;s__Haliscomenobacter_hydrossis
OTU_1723	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter_wolinii
OTU_1724	0.004	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Clostridium_huakuii
OTU_1725	0.003	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca
OTU_1726	0.005	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__Roseomonas_lacus
OTU_1727	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Thermasporomyces;s__Thermasporomyces_composti
OTU_1728	0.003	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Ktedonobacter;s__Ktedonobacter_racemifer
OTU_1729	0.012	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Ktedonobacter;s__Ktedonobacter_racemifer
OTU_1730	0.003	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Microvirgula;s__Microvirgula_aerodenitrificans
OTU_1731	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Roseospira;s__Roseospira_navarrensis
OTU_1732	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Cytophagales;f__Syntrophobacteraceae;g__Desulfobulbus;s__Sulfurivirga_caldicuralii
OTU_1733	0.002	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium;s__Marinobacterium_rhizophilum
OTU_1734	0.003	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Desulfobacteraceae;g__Desulfatiglans;s__Desulfatiglans_parachlorophenolica
OTU_1735	0.003	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Spirochaeta_alkalica
OTU_1738	0.012	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Azohydromonas;s__Kinneretia_asaccharophila
OTU_1739	0.002	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ardenticatenaceae;g__Ardenticatena;s__Ardenticatena_maritima
OTU_1740	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Latescibacteria_genera_incertae_sedis;s__Bdellovibrio_bacteriovorus
OTU_1742	0.002	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Rhizobiales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Natranaerobius_trueperi
OTU_1743	0.003	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__Steroidobacter;s__Steroidobacter_denitrificans
OTU_1744	0.002	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides
OTU_1745	0.004	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Sphaerochaeta_globosa
OTU_1746	0.008	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;g__Chryseolinea;s__Chryseolinea_serpens
OTU_1747	0.005	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Gracilibacteraceae;g__Gracilibacter;s__Gracilibacter_thermotolerans
OTU_1748	0.001	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Ignavibacterium_album
OTU_1749	0.005	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__Caldilinea_aerophila
OTU_1750	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Dongia;s__Dongia_rigui
OTU_1751	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylocaldum;s__Methylocaldum_marinum
OTU_1752	0.011	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_1;g__Desulfosporosinus;s__Desulfosporosinus_acidiphilus
OTU_1753	0.003	k__Bacteria;p__Proteobacteria;c__Actinobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermoanaerobaculum;s__Thermoanaerobaculum_aquaticum
OTU_1754	0.005	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__Caldilinea_aerophila
OTU_1755	0.002	k__Bacteria;p__Proteobacteria;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Campylobacter;s__Campylobacter_hyointestinalis_subsp._lawsonii
OTU_1756	0.002	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera_mikurensis
OTU_1757	0.002	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__Gaiella_occulta
OTU_1758	0.006	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
OTU_1760	0.013	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium_III;s__Bacteroides_cellulosolvens
OTU_1761	0.005	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Sphaerochaeta_globosa
OTU_1762	0.007	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Dechloromonas_agitata
OTU_1763	0.007	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter_profundus
OTU_1764	0.001	k__Bacteria;p__Proteobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Parcubacteria_genera_incertae_sedis;s__Nautilia_lithotrophica
OTU_1765	0.016	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__Rhodobacter_blasticus
OTU_1766	0.006	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter_daejeonensis
OTU_1767	0.001	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus;s__Solibacillus_silvestris
OTU_1768	0.004	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Aciditerrimonas;s__Aciditerrimonas_ferrireducens
OTU_1769	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Pelobacter;s__Pelobacter_seleniigenes
OTU_1770	0.006	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Labilitrichaceae;g__Labilithrix;s__Labilithrix_luteola
OTU_1771	0.001	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1;g__Bacillus;s__Lactobacillus_mellifer
OTU_1773	0.003	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Herpetosiphon;s__Roseiflexus_castenholzii
OTU_1774	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea_africana
OTU_1775	0.005	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__Noviherbaspirillum_suwonense
OTU_1776	0.001	k__Bacteria;p__Cyanobacteria;c__Cyanobacteria;o__Xanthomonadales;f__Family_I;g__GpI;s__Prochlorothrix_hollandica
OTU_1777	0.003	k__Bacteria;p__Firmicutes;c__Cyanobacteria;o__Clostridiales;f__Syntrophomonadaceae;g__Syntrophomonas;s__Syntrophomonas_cellicola
OTU_1778	0.001	k__Bacteria;p__Chloroflexi;c__Actinobacteria;o__Solirubrobacterales;f__Ardenticatenaceae;g__Ardenticatena;s__Ardenticatena_maritima
OTU_1779	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Mycobacterium;s__Aquihabitans_daechungensis
OTU_1780	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium_salsuginis
OTU_1781	0.001	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Solitalea_canadensis
OTU_1782	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geothermobacter;s__Geothermobacter_ehrlichii
OTU_1783	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__Henriciella_aquimarina
OTU_1784	0.001	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Thermoanaerobacterium;s__Thermoanaerobacterium_thermosulfurigenes
OTU_1785	0.007	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae_1;g__Paenibacillus;s__Paenibacillus_hunanensis
OTU_1786	0.002	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
OTU_1787	0.002	k__Bacteria;p__Armatimonadetes;g__Armatimonadetes_gp2
OTU_1788	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__Haliscomenobacter;s__Haliscomenobacter_hydrossis
OTU_1789	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp6;g__Gp6
OTU_1790	0.014	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Aquimonas;s__Aquimonas_voraii
OTU_1791	0.003	k__Bacteria;p__Verrucomicrobia;c__Subdivision3;g__Subdivision3_genera_incertae_sedis;s__Limisphaera_ngatamarikiensis
OTU_1793	0.002	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia;s__Kineosporia_rhamnosa
OTU_1794	0.005	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter;s__Rhodobacter_megalophilus
OTU_1795	0.005	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Tangfeifania;s__Tangfeifania_diversioriginum
OTU_1796	0.004	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp13;g__Gp13
OTU_1797	0.008	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agrococcus;s__Agrococcus_terreus
OTU_1798	0.002	k__Bacteria;p__Acidobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Thermodesulfobacteriaceae;g__Gp22;s__Dissulfuribacter_thermophilus
OTU_1799	0.002	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Spirochaeta_cellobiosiphila
OTU_1800	0.001	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Desulfovibrio;s__Caldimicrobium_rimae
OTU_1801	0.002	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Kallotenue;s__Kallotenue_papyrolyticum
OTU_1802	0.003	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Owenweeksia;s__Owenweeksia_hongkongensis
OTU_1803	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3;s__Bryobacter_aggregatus
OTU_1804	0.001	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae_1;g__Melghirimyces;s__Melghirimyces_thermohalophilus
OTU_1805	0.005	k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi
OTU_1806	0.003	k__Bacteria;p__Elusimicrobia;c__Endomicrobia;o__Desulfobacterales;f__Desulfobacteraceae;g__Candidatus_Endomicrobium;s__Desulfatitalea_tepidiphila
OTU_1807	0.004	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus_xanthus
OTU_1809	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Alphaproteobacteria_incertae_sedis;f__Hyphomicrobiaceae;g__Rhizomicrobium;s__Rhizomicrobium_electricum
OTU_1810	0.001	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter_wolinii
OTU_1811	0.001	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Reyranella;s__Reyranella_graminifolii
OTU_1812	0.001	k__Bacteria;p__Proteobacteria;c__Actinobacteria;o__Actinomycetales;f__Armatimonadaceae;g__Armatimonas/Armatimonadetes_gp1;s__Thermosulfidibacter_takaii
OTU_1814	0.005	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__Polyangium_fumosum
OTU_1816	0.002	k__Bacteria;p__Verrucomicrobia;c__Subdivision3;g__Subdivision3_genera_incertae_sedis;s__Limisphaera_ngatamarikiensis
OTU_1817	0.014	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Gallionellales;f__Gallionellaceae;g__Sideroxydans
OTU_1818	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Taonella;s__Taonella_mepensis
OTU_1819	0.003	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Azospirillum;s__Ferrovibrio_denitrificans
OTU_1820	0.001	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Leptospiraceae;g__Turneriella;s__Turneriella_parva
OTU_1821	0.002	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;s__Ignavibacterium_album
OTU_1822	0.001	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp2;g__Gp2
OTU_1823	0.003	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__Rhodoplanes_piscinae
OTU_1824	0.002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__Roseomonas_stagni
OTU_1825	0.013	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfobacca;s__Desulfobacca_acetoxidans
OTU_1828	0.002	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto;s__Clostridium_swellfunianum
OTU_1829	0.006	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Paraeggerthella;s__Paraeggerthella_hongkongensis
OTU_1830	0.004	k__Bacteria;p__Verrucomicrobia;c__Subdivision5;o__Desulfovibrionales;f__Chloroplast;g__Subdivision5_genera_incertae_sedis;s__Desulfonauticus_submarinus
OTU_1832	0.002	k__Bacteria;p__Parcubacteria;c__Clostridia;o__Clostridiales;f__Nautiliaceae;g__Parcubacteria_genera_incertae_sedis;s__Caldicoprobacter_oshimai
OTU_1833	0.007	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Sulfuriferula_multivorans
OTU_1834	0.003	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae_2;g__Planifilum;s__Planifilum_yunnanense
OTU_1835	0.002	k__Bacteria;p__Verrucomicrobia;c__Subdivision3;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Subdivision3_genera_incertae_sedis;s__Terrimicrobium_sacchariphilum
OTU_1836	0.016	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia;s__Leifsonia_xyli_subsp._cynodontis
OTU_1837	0.003	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas_carbonis
OTU_1839	0.002	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Massilia_kyonggiensis
OTU_1840	0.004	k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp6;g__Gp6
OTU_1841	0.002	k__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Armatimonadetes_gp5;s__Fimbriimonas_ginsengisoli
OTU_1842	0.013	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__Arenimonas_oryziterrae
OTU_1843	0.006	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_dubius
OTU_1844	0.002	k__Bacteria;p__Parcubacteria;c__Deltaproteobacteria;o__Flavobacteriales;f__Spirochaetaceae;g__Parcubacteria_genera_incertae_sedis;s__Desulfocella_halophila
OTU_1845	0.001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptacidiphilus;s__Streptacidiphilus_anmyonensis
OTU_1846	0.004	k__Bacteria;p__Chloroflexi;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;s__Thermogemmatispora_foliorum
