SampleID	GroupID	Pot	Replicate	FreshWeight	PlantHeight	RootLength	Variety
A79	Ir24GfIn0v2	3	1	0.44	392	126	Ir24
A80	Ir24GfIn0v2	3	2	0.43	371	116	Ir24
A81	Ir24GfIn0v2	3	3	0.44	380	178	Ir24
A82	Ir24GfIn0v2	3	4	0.44	403	175	Ir24
A83	Ir24GfIn0v2	3	5	0.44	381	105	Ir24
A84	Ir24GfIn2v0	1	1	0.49	391	42	Ir24
A85	Ir24GfIn2v0	1	2	0.55	408	79	Ir24
A86	Ir24GfIn2v0	1	3	0.57	407	104	Ir24
A87	Ir24GfIn2v0	1	4	0.45	388	69	Ir24
A88	Ir24GfIn2v0	1	5	0.6	412	108	Ir24
A89	Ir24GfIn2v0	2	1	0.46	403	87	Ir24
A90	Ir24GfIn2v0	2	2	0.56	414	108	Ir24
A91	Ir24GfIn2v0	2	3	0.49	400	94	Ir24
A92	Ir24GfIn2v0	2	4	0.6	442	97	Ir24
A93	Ir24GfIn2v0	3	1	0.58	378	120	Ir24
A94	Ir24GfIn2v0	3	2	0.59	415	100	Ir24
A95	Ir24GfIn2v0	3	3	0.55	402	68	Ir24
A96	Ir24GfIn2v0	3	4	0.6	429	87	Ir24
A97	Ir24GfIn2v0	3	5	0.48	409	38	Ir24
A98	Ir24GfIn1v1	1	1	0.44	379	89	Ir24
A99	Ir24GfIn1v1	1	2	0.62	408	118	Ir24
A100	Ir24GfIn1v1	1	3	0.55	402	135	Ir24
A101	Ir24GfIn1v1	1	4	0.47	362	122	Ir24
A102	Ir24GfIn1v1	1	5	0.59	423	152	Ir24
A103	Ir24GfIn1v1	2	1	0.56	395	157	Ir24
A104	Ir24GfIn1v1	2	2	0.53	402	134	Ir24
A105	Ir24GfIn1v1	2	3	0.57	398	123	Ir24
A106	Ir24GfIn1v1	2	4	0.56	400	106	Ir24
A107	Ir24GfIn1v1	3	1	0.59	385	149	Ir24
A108	Ir24GfIn1v1	3	2	0.55	398	139	Ir24
A109	Ir24GfIn1v1	3	3	0.62	410	153	Ir24
A110	Ir24GfIn1v1	3	4	0.31	342	147	Ir24
A111	Ir24GfIn1v1	3	5	0.67	421	113	Ir24
A112	Ir24GfIn1v2	1	1	0.41	372	135	Ir24
A113	Ir24GfIn1v2	1	2	0.6	392	164	Ir24
A114	Ir24GfIn1v2	1	3	0.44	380	153	Ir24
A115	Ir24GfIn1v2	1	4	0.42	371	141	Ir24
A116	Ir24GfIn1v2	2	1	0.53	365	198	Ir24
A117	Ir24GfIn1v2	2	2	0.45	377	208	Ir24
A118	Ir24GfIn1v2	2	3	0.63	385	150	Ir24
A119	Ir24GfIn1v2	2	4	0.52	383	99	Ir24
A120	Ir24GfIn1v2	2	5	0.49	356	80	Ir24
A121	Ir24GfIn1v2	3	1	0.58	370	233	Ir24
A122	Ir24GfIn1v2	3	2	0.61	382	145	Ir24
A123	Ir24GfIn1v2	3	3	0.51	366	101	Ir24
A124	Ir24GfIn1v2	3	4	0.42	361	120	Ir24
A125	Ir24GfIn1v2	3	5	0.46	369	119	Ir24
A126	Ir24GfIn2v1	1	1	0.35	351	69	Ir24
A127	Ir24GfIn2v1	1	2	0.49	373	86	Ir24
A128	Ir24GfIn2v1	1	3	0.3	342	104	Ir24
A129	Ir24GfIn2v1	1	4	0.27	324	124	Ir24
A130	Ir24GfIn2v1	1	5	0.48	374	100	Ir24
A131	Ir24GfIn2v1	2	1	0.49	378	95	Ir24
A132	Ir24GfIn2v1	2	2	0.32	359	71	Ir24
A133	Ir24GfIn2v1	2	3	0.5	379	119	Ir24
A134	Ir24GfIn2v1	2	4	0.56	379	117	Ir24
A135	Ir24GfIn2v1	3	1	0.6	430	86	Ir24
A136	Ir24GfIn2v1	3	2	0.65	412	137	Ir24
A137	Ir24GfIn2v1	3	3	0.6	403	108	Ir24
A138	Ir24GfIn2v1	3	4	0.61	427	94	Ir24
A139	NipIeIn0v2	1	1	0.4	444	100	A50
A140	NipIeIn0v2	1	2	0.36	382	100	A50
A141	NipIeIn0v2	1	3	0.31	416	116	A50
A142	NipIeIn0v2	1	4	0.28	317	198	A50
A143	NipIeIn0v2	2	1	0.28	381	125	A50
A144	NipIeIn0v2	2	2	0.42	414	132	A50
A145	NipIeIn0v2	2	3	0.38	397	143	A50
A146	NipIeIn0v2	2	4	0.19	341	116	A50
A147	NipIeIn0v2	2	5	0.57	455	177	A50
A148	NipIeIn0v2	3	1	0.43	434	124	A50
A149	NipIeIn0v2	3	2	0.32	391	53	A50
A150	NipIeIn0v2	3	3	0.38	424	121	A50
A151	NipIeIn0v2	3	4	0.28	410	157	A50
A152	NipIeIn0v2	3	5	0.33	388	114	A50
A153	NipIeIn2v0	1	1	0.54	435	125	A50
A154	NipIeIn2v0	1	2	0.35	412	83	A50
A155	NipIeIn2v0	1	3	0.49	422	94	A50
A156	NipIeIn2v0	1	4	0.54	436	119	A50
A157	NipIeIn2v0	1	5	0.51	431	101	A50
A158	NipIeIn2v0	2	1	0.56	449	83	A50
A159	NipIeIn2v0	2	2	0.51	432	103	A50
A160	NipIeIn2v0	2	3	0.6	440	138	A50
A161	NipIeIn2v0	2	4	0.53	432	96	A50
A162	NipIeIn2v0	2	5	0.56	436	72	A50
A163	NipIeIn2v0	3	1	0.32	415	119	A50
A164	NipIeIn2v0	3	2	0.53	477	85	A50
A165	NipIeIn2v0	3	3	0.7	455	90	A50
A166	NipIeIn2v0	3	4	0.36	410	75	A50
A167	NipIeIn1v1	1	1	0.32	406	96	A50
A168	NipIeIn1v1	1	2	0.57	455	125	A50
A169	NipIeIn1v1	1	3	0.62	425	103	A50
A170	NipIeIn1v1	1	4	0.5	405	134	A50
A171	NipIeIn1v1	1	5	0.6	532	15	A50
A172	NipIeIn1v1	2	1	0.51	439	135	A50
A173	NipIeIn1v1	2	2	0.65	451	107	A50
A174	NipIeIn1v1	2	3	0.45	438	74	A50
A175	NipIeIn1v1	2	4	0.5	463	89	A50
A176	NipIeIn1v1	2	5	0.37	420	79	A50
A177	NipIeIn1v1	3	1	0.59	440	122	A50
A178	NipIeIn1v1	3	2	0.63	431	109	A50
A179	NipIeIn1v1	3	3	0.62	441	104	A50
A180	NipIeIn1v1	3	4	0.26	388	53	A50
A181	NipIeIn1v2	1	1	0.55	433	141	A50
A182	NipIeIn1v2	1	2	0.42	422	109	A50
A183	NipIeIn1v2	1	3	0.59	430	158	A50
A184	NipIeIn1v2	1	4	0.47	441	151	A50
A185	NipIeIn1v2	2	1	0.3	381	103	A50
A186	NipIeIn1v2	2	2	0.53	420	98	A50
A187	NipIeIn1v2	2	3	0.56	440	120	A50
A188	NipIeIn1v2	2	4	0.56	442	124	A50
A189	NipIeIn1v2	2	5	0.58	451	161	A50
A190	NipIeIn1v2	3	1	0.56	421	133	A50
A191	NipIeIn1v2	3	2	0.61	459	114	A50
A192	NipIeIn1v2	3	3	0.53	428	134	A50
A193	NipIeIn1v2	3	4	0.56	435	116	A50
A194	NipIeIn1v2	3	5	0.47	416	80	A50
A195	NipIeIn2v1	1	1	0.58	397	103	A50
A196	NipIeIn2v1	1	2	0.56	431	107	A50
A197	NipIeIn2v1	1	3	0.5	410	100	A50
A198	NipIeIn2v1	1	4	0.41	391	88	A50
A199	NipIeIn2v1	1	5	0.51	435	97	A50
A200	NipIeIn2v1	2	1	0.59	456	154	A50
A201	NipIeIn2v1	2	2	0.41	426	79	A50
A202	NipIeIn2v1	2	3	0.51	428	126	A50
A203	NipIeIn2v1	2	4	0.67	463	87	A50
A204	NipIeIn2v1	2	5	0.59	472	103	A50
A205	NipIeIn2v1	3	1	0.56	465	125	A50
A206	NipIeIn2v1	3	2	0.73	465	137	A50
A207	NipIeIn2v1	3	3	0.45	377	93	A50
A208	NipIeIn2v1	3	4	0.71	483	108	A50
A209	Ir24IeIn0v2	1	1	0.4	366	79	Ir24
A210	Ir24IeIn0v2	1	2	0.33	357	111	Ir24
A211	Ir24IeIn0v2	1	3	0.42	339	136	Ir24
A212	Ir24IeIn0v2	1	4	0.35	373	96	Ir24
A213	Ir24IeIn0v2	1	5	0.4	363	171	Ir24
A214	Ir24IeIn0v2	2	1	0.41	381	170	Ir24
A215	Ir24IeIn0v2	2	2	0.38	379	148	Ir24
A216	Ir24IeIn0v2	2	3	0.39	376	156	Ir24
A217	Ir24IeIn0v2	2	4	0.51	401	152	Ir24
A218	Ir24IeIn0v2	2	5	0.47	403	117	Ir24
A219	Ir24IeIn0v2	3	1	0.4	361	352	Ir24
A220	Ir24IeIn0v2	3	2	0.38	363	201	Ir24
A221	Ir24IeIn0v2	3	3	0.41	370	180	Ir24
A222	Ir24IeIn0v2	3	4	0.34	309	206	Ir24
A223	Ir24IeIn2v0	1	1	0.58	394	162	Ir24
A224	Ir24IeIn2v0	1	2	0.54	381	124	Ir24
A225	Ir24IeIn2v0	1	3	0.59	348	221	Ir24
A226	Ir24IeIn2v0	1	4	0.37	343	113	Ir24
A227	Ir24IeIn2v0	1	5	0.5	372	100	Ir24
A228	Ir24IeIn2v0	2	1	0.73	400	156	Ir24
A229	Ir24IeIn2v0	2	2	0.63	386	163	Ir24
A230	Ir24IeIn2v0	2	3	0.26	346	80	Ir24
A231	Ir24IeIn2v0	2	4	0.62	406	140	Ir24
A232	Ir24IeIn2v0	2	5	0.43	366	140	Ir24
A233	Ir24IeIn2v0	3	1	0.59	420	122	Ir24
A234	Ir24IeIn2v0	3	2	0.61	428	107	Ir24
A235	Ir24IeIn2v0	3	3	0.57	392	130	Ir24
A236	Ir24IeIn2v0	3	4	0.57	419	83	Ir24
A237	Ir24IeIn1v1	1	1	0.5	350	346	Ir24
A238	Ir24IeIn1v1	1	2	0.58	386	186	Ir24
A239	Ir24IeIn1v1	1	3	0.5	365	78	Ir24
A240	Ir24IeIn1v1	1	4	0.56	372	142	Ir24
A241	Ir24IeIn1v1	1	5	0.37	323	52	Ir24
A242	Ir24IeIn1v1	2	1	0.43	352	81	Ir24
A243	Ir24IeIn1v1	2	2	0.41	370	102	Ir24
A244	Ir24IeIn1v1	2	3	0.5	375	87	Ir24
A245	Ir24IeIn1v1	2	4	0.48	360	90	Ir24
A246	Ir24IeIn1v1	2	5	0.4	350	101	Ir24
A247	Ir24IeIn1v1	3	1	0.52	380	101	Ir24
A248	Ir24IeIn1v1	3	2	0.56	371	134	Ir24
A249	Ir24IeIn1v1	3	3	0.39	352	154	Ir24
A250	Ir24IeIn1v1	3	4	0.52	399	102	Ir24
A251	Ir24IeIn1v2	1	1	0.6	366	104	Ir24
A252	Ir24IeIn1v2	1	2	0.45	365	259	Ir24
A253	Ir24IeIn1v2	1	3	0.44	350	187	Ir24
A254	Ir24IeIn1v2	1	4	0.5	363	199	Ir24
A255	Ir24IeIn1v2	2	1	0.54	372	189	Ir24
A256	Ir24IeIn1v2	2	2	0.4	324	129	Ir24
A257	Ir24IeIn1v2	2	3	0.52	374	152	Ir24
A258	Ir24IeIn1v2	2	4	0.45	375	233	Ir24
A259	Ir24IeIn1v2	2	5	0.42	364	178	Ir24
A260	Ir24IeIn1v2	3	1	0.4	351	133	Ir24
A261	Ir24IeIn1v2	3	2	0.41	355	168	Ir24
A262	Ir24IeIn1v2	3	3	0.47	362	132	Ir24
A263	Ir24IeIn1v2	3	4	0.43	375	147	Ir24
A264	Ir24IeIn1v2	3	5	0.63	383	164	Ir24
A265	Ir24IeIn2v1	1	1	0.61	400	143	Ir24
A266	Ir24IeIn2v1	1	2	0.69	418	144	Ir24
A267	Ir24IeIn2v1	1	3	0.64	406	153	Ir24
A268	Ir24IeIn2v1	1	4	0.6	396	82	Ir24
A269	Ir24IeIn2v1	2	1	0.66	396	130	Ir24
A270	Ir24IeIn2v1	2	2	0.59	372	138	Ir24
A271	Ir24IeIn2v1	2	3	0.64	397	135	Ir24
A272	Ir24IeIn2v1	2	4	0.45	353	161	Ir24
A273	Ir24IeIn2v1	2	5	0.49	354	107	Ir24
A274	Ir24IeIn2v1	3	1	0.51	391	80	Ir24
A275	Ir24IeIn2v1	3	2	0.47	375	82	Ir24
A276	Ir24IeIn2v1	3	3	0.55	413	154	Ir24
A277	Ir24IeIn2v1	3	4	0.6	398	97	Ir24
A278	Ir24IeIn2v1	3	5	0.52	386	81	Ir24
