SampleID	GroupID	Pot	Replicate	FreshWeight	PlantHeight	RootLength	Variety
A1	NipGfIn0v2	1	1	0.53	434	110	A50
A2	NipGfIn0v2	1	2	0.59	441	141	A50
A3	NipGfIn0v2	1	3	0.58	452	191	A50
A4	NipGfIn0v2	1	4	0.63	436	111	A50
A5	NipGfIn0v2	2	1	0.47	467	105	A50
A6	NipGfIn0v2	2	2	0.5	423	104	A50
A7	NipGfIn0v2	2	3	0.44	435	91	A50
A8	NipGfIn0v2	2	4	0.65	463	195	A50
A9	NipGfIn0v2	2	5	0.61	404	199	A50
A10	NipGfIn0v2	3	1	0.51	428	105	A50
A11	NipGfIn0v2	3	2	0.54	433	132	A50
A12	NipGfIn0v2	3	3	0.52	439	268	A50
A13	NipGfIn0v2	3	4	0.51	420	155	A50
A14	NipGfIn2v0	1	1	0.85	476	116	A50
A15	NipGfIn2v0	1	2	0.53	466	116	A50
A16	NipGfIn2v0	1	3	0.66	448	106	A50
A17	NipGfIn2v0	1	4	0.79	483	135	A50
A18	NipGfIn2v0	2	1	0.52	442	120	A50
A19	NipGfIn2v0	2	2	0.73	442	115	A50
A20	NipGfIn2v0	2	3	0.67	442	105	A50
A21	NipGfIn2v0	2	4	0.47	420	131	A50
A22	NipGfIn2v0	2	5	0.62	450	164	A50
A23	NipGfIn2v0	3	1	0.72	412	137	A50
A24	NipGfIn2v0	3	2	0.9	459	106	A50
A25	NipGfIn2v0	3	3	0.64	440	102	A50
A26	NipGfIn2v0	3	4	0.47	430	146	A50
A27	NipGfIn2v0	3	5	0.44	421	100	A50
A28	NipGfIn1v1	1	1	0.47	430	126	A50
A29	NipGfIn1v1	1	2	0.6	456	130	A50
A30	NipGfIn1v1	1	3	0.59	445	86	A50
A31	NipGfIn1v1	1	4	0.75	477	144	A50
A32	NipGfIn1v1	2	1	0.63	422	210	A50
A33	NipGfIn1v1	2	2	0.52	415	122	A50
A34	NipGfIn1v1	2	3	0.56	450	130	A50
A35	NipGfIn1v1	2	4	0.57	428	168	A50
A36	NipGfIn1v1	2	5	0.72	461	157	A50
A37	NipGfIn1v1	3	1	0.62	481	103	A50
A38	NipGfIn1v1	3	2	0.6	458	113	A50
A39	NipGfIn1v1	3	3	0.59	448	148	A50
A40	NipGfIn1v1	3	4	0.6	474	102	A50
A41	NipGfIn1v1	3	5	0.55	463	138	A50
A42	NipGfIn1v2	1	1	0.6	454	145	A50
A43	NipGfIn1v2	1	2	0.51	469	111	A50
A44	NipGfIn1v2	1	3	0.59	459	154	A50
A45	NipGfIn1v2	1	4	0.43	401	186	A50
A46	NipGfIn1v2	1	5	0.6	433	162	A50
A47	NipGfIn1v2	2	1	0.52	439	124	A50
A48	NipGfIn1v2	2	2	0.48	421	129	A50
A49	NipGfIn1v2	2	3	0.55	440	164	A50
A50	NipGfIn1v2	2	4	0.59	424	148	A50
A51	NipGfIn1v2	3	1	0.66	452	206	A50
A52	NipGfIn1v2	3	2	0.65	460	177	A50
A53	NipGfIn1v2	3	3	0.48	431	109	A50
A54	NipGfIn1v2	3	4	0.64	450	119	A50
A55	NipGfIn1v2	3	5	0.55	444	110	A50
A56	NipGfIn2v1	1	1	0.72	456	128	A50
A57	NipGfIn2v1	1	2	0.77	478	105	A50
A58	NipGfIn2v1	1	3	0.57	473	89	A50
A59	NipGfIn2v1	1	4	0.6	476	96	A50
A60	NipGfIn2v1	1	5	0.64	475	97	A50
A61	NipGfIn2v1	2	1	0.69	445	135	A50
A62	NipGfIn2v1	2	2	0.61	454	143	A50
A63	NipGfIn2v1	2	3	0.62	437	156	A50
A64	NipGfIn2v1	2	4	0.59	439	127	A50
A65	NipGfIn2v1	3	1	0.67	452	110	A50
A66	NipGfIn2v1	3	2	0.66	437	123	A50
A67	NipGfIn2v1	3	3	0.63	450	96	A50
A68	NipGfIn2v1	3	4	0.66	456	100	A50
A69	NipGfIn2v1	3	5	0.68	434	145	A50
A70	Ir24GfIn0v2	1	1	0.4	347	77	Ir24
A71	Ir24GfIn0v2	1	2	0.38	327	319	Ir24
A72	Ir24GfIn0v2	1	3	0.47	360	261	Ir24
A73	Ir24GfIn0v2	1	4	0.35	327	184	Ir24
A74	Ir24GfIn0v2	2	1	0.52	388	112	Ir24
A75	Ir24GfIn0v2	2	2	0.57	381	207	Ir24
A76	Ir24GfIn0v2	2	3	0.47	377	216	Ir24
A77	Ir24GfIn0v2	2	4	0.31	359	127	Ir24
A78	Ir24GfIn0v2	2	5	0.41	353	179	Ir24
