SampleID	GroupID	Variety	Sycom	Nitrogen	Pot	Replicate	FreshWeight	PlantHeight	RootLength	Pollution
A50GfInP2R1	A50GfIn	A50	Gf	In	P2	R1	0.25	425	87	N
A50GfInP2R2	A50GfIn	A50	Gf	In	P2	R2	0.19	370	80	N
A50GfInP2R3	A50GfIn	A50	Gf	In	P2	R3	0.19	352	63	N
A50GfInP2R4	A50GfIn	A50	Gf	In	P2	R4	0.14	285	83	N
A50GfInP2R5	A50GfIn	A50	Gf	In	P2	R5	0.11	188	81	N
A50GfInP3R1	A50GfIn	A50	Gf	In	P3	R1	0.2	343	77	Y
A50GfInP3R2	A50GfIn	A50	Gf	In	P3	R2	0.12	272	67	Y
A50GfInP3R3	A50GfIn	A50	Gf	In	P3	R3	0.28	410	109	Y
A50GfInP3R4	A50GfIn	A50	Gf	In	P3	R4	0.29	405	91	Y
A50GfInP3R5	A50GfIn	A50	Gf	In	P3	R5	0.21	370	81	Y
A50GfInP4R1	A50GfIn	A50	Gf	In	P4	R1	0.22	439	NA	N
A50GfInP4R2	A50GfIn	A50	Gf	In	P4	R2	0.26	442	97	N
A50GfInP4R3	A50GfIn	A50	Gf	In	P4	R3	0.19	377	80	N
A50GfInP4R4	A50GfIn	A50	Gf	In	P4	R4	0.2	356	89	N
A50GfInP4R5	A50GfIn	A50	Gf	In	P4	R5	0.17	345	64	N
A50GfInP5R1	A50GfIn	A50	Gf	In	P5	R1	0.18	350	76	N
A50GfInP5R2	A50GfIn	A50	Gf	In	P5	R2	0.17	316	86	N
A50GfInP5R3	A50GfIn	A50	Gf	In	P5	R3	0.21	390	94	N
A50GfInP5R4	A50GfIn	A50	Gf	In	P5	R4	0.2	364	140	N
Ir24GfInP1R1	Ir24GfIn	Ir24	Gf	In	P1	R1	0.22	325	111	N
Ir24GfInP1R2	Ir24GfIn	Ir24	Gf	In	P1	R2	0.13	255	76	N
Ir24GfInP1R3	Ir24GfIn	Ir24	Gf	In	P1	R3	0.14	303	76	N
Ir24GfInP1R4	Ir24GfIn	Ir24	Gf	In	P1	R4	0.17	302	81	N
Ir24GfInP1R5	Ir24GfIn	Ir24	Gf	In	P1	R5	0.09	289	73	N
Ir24GfInP2R1	Ir24GfIn	Ir24	Gf	In	P2	R1	0.14	300	68	N
Ir24GfInP2R2	Ir24GfIn	Ir24	Gf	In	P2	R2	0.07	245	34	N
Ir24GfInP2R3	Ir24GfIn	Ir24	Gf	In	P2	R3	0.09	250	50	N
Ir24GfInP2R4	Ir24GfIn	Ir24	Gf	In	P2	R4	0.1	259	52	N
