SampleID	GroupID	Variety	Sycom	Nitrogen	Pot	Replicate	FreshWeight	PlantHeight	RootLength	Pollution
Ir24GfInP2R5	Ir24GfIn	Ir24	Gf	In	P2	R5	0.16	307	73	N
Ir24GfInP3R1	Ir24GfIn	Ir24	Gf	In	P3	R1	0.13	267	57	N
Ir24GfInP3R2	Ir24GfIn	Ir24	Gf	In	P3	R2	0.19	341	59	N
Ir24GfInP3R3	Ir24GfIn	Ir24	Gf	In	P3	R3	0.16	272	82	N
Ir24GfInP3R4	Ir24GfIn	Ir24	Gf	In	P3	R4	0.16	307	75	N
Ir24GfInP3R5	Ir24GfIn	Ir24	Gf	In	P3	R5	0.09	272	51	N
Ir24GfInP4R1	Ir24GfIn	Ir24	Gf	In	P4	R1	0.13	260	122	N
Ir24GfInP4R2	Ir24GfIn	Ir24	Gf	In	P4	R2	0.23	335	108	N
Ir24GfInP4R3	Ir24GfIn	Ir24	Gf	In	P4	R3	0.05	190	62	N
Ir24GfInP4R4	Ir24GfIn	Ir24	Gf	In	P4	R4	0.15	300	50	N
Ir24GfInP4R5	Ir24GfIn	Ir24	Gf	In	P4	R5	0.16	290	50	N
A50GfOrP1R1	A50GfOr	A50	Gf	Or	P1	R1	0.09	235	67	N
A50GfOrP1R2	A50GfOr	A50	Gf	Or	P1	R2	0.11	256	51	N
A50GfOrP1R3	A50GfOr	A50	Gf	Or	P1	R3	0.14	307	78	N
A50GfOrP1R4	A50GfOr	A50	Gf	Or	P1	R4	0.15	283	98	N
A50GfOrP1R5	A50GfOr	A50	Gf	Or	P1	R5	0.1	263	41	N
A50GfOrP2R1	A50GfOr	A50	Gf	Or	P2	R1	0.12	290	104	N
A50GfOrP2R2	A50GfOr	A50	Gf	Or	P2	R2	0.18	334	83	N
A50GfOrP2R3	A50GfOr	A50	Gf	Or	P2	R3	0.12	288	56	N
A50GfOrP2R4	A50GfOr	A50	Gf	Or	P2	R4	0.12	272	76	N
A50GfOrP2R5	A50GfOr	A50	Gf	Or	P2	R5	0.16	298	84	N
A50GfOrP3R1	A50GfOr	A50	Gf	Or	P3	R1	0.07	203	35	N
A50GfOrP3R2	A50GfOr	A50	Gf	Or	P3	R2	0.07	263	67	N
A50GfOrP3R3	A50GfOr	A50	Gf	Or	P3	R3	0.11	253	45	N
A50GfOrP3R4	A50GfOr	A50	Gf	Or	P3	R4	0.11	238	59	N
A50GfOrP3R5	A50GfOr	A50	Gf	Or	P3	R5	0.09	249	53	N
Ir24GfOrP1R1	Ir24GfOr	Ir24	Gf	Or	P1	R1	0.13	235	52	N
Ir24GfOrP1R2	Ir24GfOr	Ir24	Gf	Or	P1	R2	0.09	170	50	N
Ir24GfOrP1R3	Ir24GfOr	Ir24	Gf	Or	P1	R3	0.08	181	46	N
Ir24GfOrP1R4	Ir24GfOr	Ir24	Gf	Or	P1	R4	0.09	189	52	N
Ir24GfOrP1R5	Ir24GfOr	Ir24	Gf	Or	P1	R5	0.08	195	48	N
Ir24GfOrP2R1	Ir24GfOr	Ir24	Gf	Or	P2	R1	0.09	205	37	N
Ir24GfOrP2R2	Ir24GfOr	Ir24	Gf	Or	P2	R2	0.12	225	47	N
Ir24GfOrP2R3	Ir24GfOr	Ir24	Gf	Or	P2	R3	0.09	190	50	N
Ir24GfOrP2R4	Ir24GfOr	Ir24	Gf	Or	P2	R4	0.06	170	49	N
Ir24GfOrP2R5	Ir24GfOr	Ir24	Gf	Or	P2	R5	0.04	166	32	N
Ir24GfOrP3R1	Ir24GfOr	Ir24	Gf	Or	P3	R1	0.14	215	58	N
Ir24GfOrP3R2	Ir24GfOr	Ir24	Gf	Or	P3	R2	0.11	198	53	N
Ir24GfOrP3R3	Ir24GfOr	Ir24	Gf	Or	P3	R3	0.08	205	28	N
Ir24GfOrP3R4	Ir24GfOr	Ir24	Gf	Or	P3	R4	0.08	182	44	N
Ir24GfOrP3R5	Ir24GfOr	Ir24	Gf	Or	P3	R5	0.07	175	46	N
A50IeOrP1R1	A50IeOr	A50	Ie	Or	P1	R1	0.19	352	192	N
A50IeOrP1R2	A50IeOr	A50	Ie	Or	P1	R2	0.24	444	140	N
A50IeOrP1R3	A50IeOr	A50	Ie	Or	P1	R3	0.26	408	193	N
A50IeOrP1R4	A50IeOr	A50	Ie	Or	P1	R4	0.24	419	183	N
A50IeOrP1R5	A50IeOr	A50	Ie	Or	P1	R5	0.18	341	126	N
A50IeOrP2R1	A50IeOr	A50	Ie	Or	P2	R1	0.14	315	157	N
A50IeOrP2R2	A50IeOr	A50	Ie	Or	P2	R2	0.17	310	102	N
A50IeOrP2R3	A50IeOr	A50	Ie	Or	P2	R3	0.17	312	125	N
A50IeOrP2R4	A50IeOr	A50	Ie	Or	P2	R4	0.13	285	134	N
A50IeOrP2R5	A50IeOr	A50	Ie	Or	P2	R5	0.19	335	154	N
A50IeOrP3R1	A50IeOr	A50	Ie	Or	P3	R1	0.1	222	59	N
A50IeOrP3R2	A50IeOr	A50	Ie	Or	P3	R2	0.24	412	162	N
A50IeOrP3R3	A50IeOr	A50	Ie	Or	P3	R3	0.19	325	150	N
A50IeOrP3R4	A50IeOr	A50	Ie	Or	P3	R4	0.16	305	152	N
A50IeOrP3R5	A50IeOr	A50	Ie	Or	P3	R5	0.17	360	104	N
Ir24IeOrP1R1	Ir24IeOr	Ir24	Ie	Or	P1	R1	0.12	275	57	N
Ir24IeOrP1R2	Ir24IeOr	Ir24	Ie	Or	P1	R2	0.15	238	113	N
Ir24IeOrP1R3	Ir24IeOr	Ir24	Ie	Or	P1	R3	0.15	272	167	N
Ir24IeOrP1R4	Ir24IeOr	Ir24	Ie	Or	P1	R4	0.16	261	123	N
Ir24IeOrP1R5	Ir24IeOr	Ir24	Ie	Or	P1	R5	0.12	251	143	N
Ir24IeOrP2R1	Ir24IeOr	Ir24	Ie	Or	P2	R1	0.16	305	72	N
Ir24IeOrP2R2	Ir24IeOr	Ir24	Ie	Or	P2	R2	0.13	302	126	N
Ir24IeOrP2R3	Ir24IeOr	Ir24	Ie	Or	P2	R3	0.14	292	92	N
Ir24IeOrP2R4	Ir24IeOr	Ir24	Ie	Or	P2	R4	0.21	345	102	N
Ir24IeOrP2R5	Ir24IeOr	Ir24	Ie	Or	P2	R5	0.19	320	87	N
Ir24IeOrP3R1	Ir24IeOr	Ir24	Ie	Or	P3	R1	0.15	263	164	N
Ir24IeOrP3R2	Ir24IeOr	Ir24	Ie	Or	P3	R2	0.18	320	112	N
Ir24IeOrP3R3	Ir24IeOr	Ir24	Ie	Or	P3	R3	0.16	290	96	N
Ir24IeOrP3R4	Ir24IeOr	Ir24	Ie	Or	P3	R4	0.16	290	87	N
Ir24IeOrP3R5	Ir24IeOr	Ir24	Ie	Or	P3	R5	0.16	286	134	N
A50JeOrP1R1	A50JeOr	A50	Je	Or	P1	R1	0.22	345	118	N
A50JeOrP1R2	A50JeOr	A50	Je	Or	P1	R2	0.18	320	100	N
A50JeOrP1R3	A50JeOr	A50	Je	Or	P1	R3	0.2	427	136	N
A50JeOrP1R4	A50JeOr	A50	Je	Or	P1	R4	0.18	317	104	N
A50JeOrP1R5	A50JeOr	A50	Je	Or	P1	R5	0.17	321	96	N
A50JeOrP2R1	A50JeOr	A50	Je	Or	P2	R1	0.18	385	103	N
A50JeOrP2R2	A50JeOr	A50	Je	Or	P2	R2	0.15	305	85	N
A50JeOrP2R3	A50JeOr	A50	Je	Or	P2	R3	0.18	375	74	N
A50JeOrP2R4	A50JeOr	A50	Je	Or	P2	R4	0.17	390	87	N
A50JeOrP2R5	A50JeOr	A50	Je	Or	P2	R5	0.18	386	88	N
A50JeOrP3R1	A50JeOr	A50	Je	Or	P3	R1	0.14	270	103	N
A50JeOrP3R2	A50JeOr	A50	Je	Or	P3	R2	0.2	315	153	N
A50JeOrP3R3	A50JeOr	A50	Je	Or	P3	R3	0.11	242	112	N
A50JeOrP3R4	A50JeOr	A50	Je	Or	P3	R4	0.19	310	140	N
A50JeOrP3R5	A50JeOr	A50	Je	Or	P3	R5	0.16	305	144	N
Ir24JeOrP1R1	Ir24JeOr	Ir24	Je	Or	P1	R1	0.13	231	52	N
Ir24JeOrP1R2	Ir24JeOr	Ir24	Je	Or	P1	R2	0.15	248	70	N
Ir24JeOrP1R3	Ir24JeOr	Ir24	Je	Or	P1	R3	0.12	257	70	N
Ir24JeOrP1R4	Ir24JeOr	Ir24	Je	Or	P1	R4	0.14	245	72	N
Ir24JeOrP1R5	Ir24JeOr	Ir24	Je	Or	P1	R5	0.09	191	118	N
Ir24JeOrP2R1	Ir24JeOr	Ir24	Je	Or	P2	R1	0.16	276	86	N
Ir24JeOrP2R2	Ir24JeOr	Ir24	Je	Or	P2	R2	0.16	285	98	N
Ir24JeOrP2R3	Ir24JeOr	Ir24	Je	Or	P2	R3	0.11	206	96	N
Ir24JeOrP2R4	Ir24JeOr	Ir24	Je	Or	P2	R4	0.17	280	95	N
Ir24JeOrP2R5	Ir24JeOr	Ir24	Je	Or	P2	R5	0.15	265	97	N
Ir24JeOrP3R1	Ir24JeOr	Ir24	Je	Or	P3	R1	0.1	270	91	N
Ir24JeOrP3R2	Ir24JeOr	Ir24	Je	Or	P3	R2	0.18	308	103	N
Ir24JeOrP3R3	Ir24JeOr	Ir24	Je	Or	P3	R3	0.14	260	123	N
Ir24JeOrP3R4	Ir24JeOr	Ir24	Je	Or	P3	R4	0.16	270	111	N
Ir24JeOrP3R5	Ir24JeOr	Ir24	Je	Or	P3	R5	0.15	275	100	N
A50SeOrP1R1	A50SeOr	A50	Se	Or	P1	R1	0.16	285	92	N
A50SeOrP1R2	A50SeOr	A50	Se	Or	P1	R2	0.17	345	101	N
A50SeOrP1R3	A50SeOr	A50	Se	Or	P1	R3	0.15	325	111	N
A50SeOrP1R4	A50SeOr	A50	Se	Or	P1	R4	0.16	319	89	N
A50SeOrP1R5	A50SeOr	A50	Se	Or	P1	R5	0.2	412	90	N
A50SeOrP2R1	A50SeOr	A50	Se	Or	P2	R1	0.14	271	49	N
A50SeOrP2R2	A50SeOr	A50	Se	Or	P2	R2	0.14	245	65	N
A50SeOrP2R3	A50SeOr	A50	Se	Or	P2	R3	0.1	250	49	N
A50SeOrP2R4	A50SeOr	A50	Se	Or	P2	R4	0.14	222	71	N
A50SeOrP2R5	A50SeOr	A50	Se	Or	P2	R5	0.16	268	67	N
A50SeOrP3R1	A50SeOr	A50	Se	Or	P3	R1	0.13	248	80	N
A50SeOrP3R2	A50SeOr	A50	Se	Or	P3	R2	0.15	285	72	N
A50SeOrP3R3	A50SeOr	A50	Se	Or	P3	R3	0.16	302	101	N
A50SeOrP3R4	A50SeOr	A50	Se	Or	P3	R4	0.13	265	103	N
A50SeOrP3R5	A50SeOr	A50	Se	Or	P3	R5	0.13	268	75	N
Ir24SeOrP1R1	Ir24SeOr	Ir24	Se	Or	P1	R1	0.15	225	50	N
Ir24SeOrP1R2	Ir24SeOr	Ir24	Se	Or	P1	R2	0.14	235	55	N
Ir24SeOrP1R3	Ir24SeOr	Ir24	Se	Or	P1	R3	0.09	220	53	N
Ir24SeOrP1R4	Ir24SeOr	Ir24	Se	Or	P1	R4	0.12	215	45	N
Ir24SeOrP1R5	Ir24SeOr	Ir24	Se	Or	P1	R5	0.11	229	55	N
Ir24SeOrP2R1	Ir24SeOr	Ir24	Se	Or	P2	R1	0.09	168	49	N
Ir24SeOrP2R2	Ir24SeOr	Ir24	Se	Or	P2	R2	0.07	203	45	N
Ir24SeOrP2R3	Ir24SeOr	Ir24	Se	Or	P2	R3	0.08	210	37	N
Ir24SeOrP2R4	Ir24SeOr	Ir24	Se	Or	P2	R4	0.13	215	47	N
Ir24SeOrP2R5	Ir24SeOr	Ir24	Se	Or	P2	R5	0.14	237	42	N
Ir24SeOrP3R1	Ir24SeOr	Ir24	Se	Or	P3	R1	0.11	200	52	N
Ir24SeOrP3R2	Ir24SeOr	Ir24	Se	Or	P3	R2	0.11	218	42	N
Ir24SeOrP3R3	Ir24SeOr	Ir24	Se	Or	P3	R3	0.11	175	51	N
Ir24SeOrP3R4	Ir24SeOr	Ir24	Se	Or	P3	R4	0.1	193	49	N
Ir24SeOrP3R5	Ir24SeOr	Ir24	Se	Or	P3	R5	0.09	196	45	N
A50IedOrP1R1	A50IedOr	A50	Ied	Or	P1	R1	0.19	329	122	N
A50IedOrP1R2	A50IedOr	A50	Ied	Or	P1	R2	0.12	313	96	N
A50IedOrP1R3	A50IedOr	A50	Ied	Or	P1	R3	0.21	342	103	N
A50IedOrP1R4	A50IedOr	A50	Ied	Or	P1	R4	0.11	263	104	N
A50IedOrP1R5	A50IedOr	A50	Ied	Or	P1	R5	0.16	273	143	N
A50IedOrP2R1	A50IedOr	A50	Ied	Or	P2	R1	0.14	276	63	N
A50IedOrP2R2	A50IedOr	A50	Ied	Or	P2	R2	0.14	280	63	N
A50IedOrP2R3	A50IedOr	A50	Ied	Or	P2	R3	0.13	253	52	N
A50IedOrP2R4	A50IedOr	A50	Ied	Or	P2	R4	0.12	256	52	N
A50IedOrP2R5	A50IedOr	A50	Ied	Or	P2	R5	0.14	266	51	N
A50JedOrP2R1	A50JedOr	A50	Jed	Or	P2	R1	0.13	275	145	N
A50JedOrP2R2	A50JedOr	A50	Jed	Or	P2	R2	0.15	273	101	N
A50JedOrP2R3	A50JedOr	A50	Jed	Or	P2	R3	0.11	236	63	N
A50JedOrP2R4	A50JedOr	A50	Jed	Or	P2	R4	0.12	218	113	N
A50JedOrP2R5	A50JedOr	A50	Jed	Or	P2	R5	0.13	252	68	N
A50SedOrP1R1	A50SedOr	A50	Sed	Or	P1	R1	0.12	265	59	N
A50SedOrP1R2	A50SedOr	A50	Sed	Or	P1	R2	0.11	307	101	N
A50SedOrP1R3	A50SedOr	A50	Sed	Or	P1	R3	0.13	285	85	N
A50SedOrP1R4	A50SedOr	A50	Sed	Or	P1	R4	0.18	281	83	N
A50SedOrP1R5	A50SedOr	A50	Sed	Or	P1	R5	0.18	337	182	N
A50SedOrP2R1	A50SedOr	A50	Sed	Or	P2	R1	0.11	225	79	Y
A50SedOrP2R2	A50SedOr	A50	Sed	Or	P2	R2	0.14	318	52	Y
A50SedOrP2R3	A50SedOr	A50	Sed	Or	P2	R3	0.16	272	100	Y
A50SedOrP2R4	A50SedOr	A50	Sed	Or	P2	R4	0.13	303	73	Y
A50SedOrP2R5	A50SedOr	A50	Sed	Or	P2	R5	0.13	259	70	Y
Ir24IedOrP1R1	Ir24IedOr	Ir24	Ied	Or	P1	R1	0.14	209	47	N
Ir24IedOrP1R2	Ir24IedOr	Ir24	Ied	Or	P1	R2	0.13	216	59	N
Ir24IedOrP1R3	Ir24IedOr	Ir24	Ied	Or	P1	R3	0.11	212	48	N
Ir24IedOrP1R4	Ir24IedOr	Ir24	Ied	Or	P1	R4	0.09	171	50	N
Ir24IedOrP1R5	Ir24IedOr	Ir24	Ied	Or	P1	R5	0.06	120	35	N
Ir24IedOrP2R1	Ir24IedOr	Ir24	Ied	Or	P2	R1	0.11	215	43	N
Ir24IedOrP2R2	Ir24IedOr	Ir24	Ied	Or	P2	R2	0.13	200	53	N
Ir24IedOrP2R3	Ir24IedOr	Ir24	Ied	Or	P2	R3	0.14	200	43	N
Ir24IedOrP2R4	Ir24IedOr	Ir24	Ied	Or	P2	R4	0.12	225	40	N
Ir24IedOrP2R5	Ir24IedOr	Ir24	Ied	Or	P2	R5	0.13	195	48	N
Ir24JedOrP1R1	Ir24JedOr	Ir24	Jed	Or	P1	R1	0.12	208	42	Y
Ir24JedOrP1R2	Ir24JedOr	Ir24	Jed	Or	P1	R2	0.12	258	50	Y
Ir24JedOrP1R3	Ir24JedOr	Ir24	Jed	Or	P1	R3	0.14	245	49	Y
Ir24JedOrP1R4	Ir24JedOr	Ir24	Jed	Or	P1	R4	0.08	215	124	Y
Ir24JedOrP1R5	Ir24JedOr	Ir24	Jed	Or	P1	R5	0.08	226	112	Y
Ir24JedOrP2R1	Ir24JedOr	Ir24	Jed	Or	P2	R1	0.06	150	41	N
Ir24JedOrP2R2	Ir24JedOr	Ir24	Jed	Or	P2	R2	0.07	165	51	N
Ir24JedOrP2R3	Ir24JedOr	Ir24	Jed	Or	P2	R3	0.09	218	46	N
Ir24JedOrP2R4	Ir24JedOr	Ir24	Jed	Or	P2	R4	0.08	193	50	N
Ir24JedOrP2R5	Ir24JedOr	Ir24	Jed	Or	P2	R5	0.09	206	50	N
Ir24SedOrP1R1	Ir24SedOr	Ir24	Sed	Or	P1	R1	0.09	83	82	N
Ir24SedOrP1R2	Ir24SedOr	Ir24	Sed	Or	P1	R2	0.07	155	98	N
Ir24SedOrP1R3	Ir24SedOr	Ir24	Sed	Or	P1	R3	0.05	135	90	N
Ir24SedOrP1R4	Ir24SedOr	Ir24	Sed	Or	P1	R4	0.07	173	47	N
Ir24SedOrP1R5	Ir24SedOr	Ir24	Sed	Or	P1	R5	0.04	126	73	N
Ir24SedOrP2R1	Ir24SedOr	Ir24	Sed	Or	P2	R1	0.11	211	45	N
Ir24SedOrP2R2	Ir24SedOr	Ir24	Sed	Or	P2	R2	0.08	164	41	N
Ir24SedOrP2R3	Ir24SedOr	Ir24	Sed	Or	P2	R3	0.11	220	67	N
Ir24SedOrP2R4	Ir24SedOr	Ir24	Sed	Or	P2	R4	0.12	188	53	N
Ir24SedOrP2R5	Ir24SedOr	Ir24	Sed	Or	P2	R5	0.1	197	50	N
