SampleID	GroupID	Pot	Replicate	FreshWeight	PlantHeight	RootLength	Variety
Ir24GfIn11	Ir24GfIn	1	1	0.22	325	111	Ir24
Ir24GfIn12	Ir24GfIn	1	2	0.13	255	76	Ir24
Ir24GfIn13	Ir24GfIn	1	3	0.14	303	76	Ir24
Ir24GfIn14	Ir24GfIn	1	4	0.17	302	81	Ir24
Ir24GfIn15	Ir24GfIn	1	5	0.09	289	73	Ir24
Ir24GfIn21	Ir24GfIn	2	1	0.14	300	68	Ir24
Ir24GfIn22	Ir24GfIn	2	2	0.07	245	34	Ir24
Ir24GfIn23	Ir24GfIn	2	3	0.09	250	50	Ir24
Ir24GfIn24	Ir24GfIn	2	4	0.1	259	52	Ir24
Ir24GfIn25	Ir24GfIn	2	5	0.16	307	73	Ir24
Ir24GfIn31	Ir24GfIn	3	1	0.13	267	57	Ir24
Ir24GfIn32	Ir24GfIn	3	2	0.19	341	59	Ir24
Ir24GfIn33	Ir24GfIn	3	3	0.16	272	82	Ir24
Ir24GfIn34	Ir24GfIn	3	4	0.16	307	75	Ir24
Ir24GfIn35	Ir24GfIn	3	5	0.09	272	51	Ir24
Ir24GfIn41	Ir24GfIn	4	1	0.13	260	122	Ir24
Ir24GfIn42	Ir24GfIn	4	2	0.23	335	108	Ir24
Ir24GfIn43	Ir24GfIn	4	3	0.05	190	62	Ir24
Ir24GfIn44	Ir24GfIn	4	4	0.15	300	50	Ir24
Ir24GfIn45	Ir24GfIn	4	5	0.16	290	50	Ir24
Ir24IeIn11	Ir24IeIn	1	1	0.11	254	52	Ir24
Ir24IeIn12	Ir24IeIn	1	2	0.08	223	24	Ir24
Ir24IeIn13	Ir24IeIn	1	3	0.08	225	20	Ir24
Ir24IeIn14	Ir24IeIn	1	4	0.08	226	NA	Ir24
Ir24IeIn15	Ir24IeIn	1	5	0.16	282	52	Ir24
Ir24IeIn21	Ir24IeIn	2	1	0.22	335	57	Ir24
Ir24IeIn22	Ir24IeIn	2	2	0.12	235	89	Ir24
Ir24IeIn23	Ir24IeIn	2	3	0.16	270	62	Ir24
Ir24IeIn24	Ir24IeIn	2	4	0.12	276	49	Ir24
Ir24JeIn11	Ir24JeIn	1	1	0.06	151	70	Ir24
Ir24JeIn12	Ir24JeIn	1	2	0.12	223	70	Ir24
Ir24JeIn13	Ir24JeIn	1	3	0.08	233	59	Ir24
Ir24JeIn14	Ir24JeIn	1	4	0.05	202	51	Ir24
Ir24JeIn15	Ir24JeIn	1	5	0.07	165	56	Ir24
Ir24JeIn21	Ir24JeIn	2	1	0.11	235	109	Ir24
Ir24JeIn22	Ir24JeIn	2	2	0.14	285	59	Ir24
Ir24JeIn23	Ir24JeIn	2	3	0.2	305	86	Ir24
Ir24JeIn24	Ir24JeIn	2	4	0.12	258	74	Ir24
Ir24IehIn11	Ir24IehIn	1	1	0.16	272	72	Ir24
Ir24IehIn12	Ir24IehIn	1	2	0.25	356	67	Ir24
Ir24IehIn13	Ir24IehIn	1	3	0.19	312	67	Ir24
Ir24IehIn14	Ir24IehIn	1	4	0.18	315	81	Ir24
Ir24IehIn15	Ir24IehIn	1	5	0.2	310	58	Ir24
Ir24IehIn21	Ir24IehIn	2	1	0.13	220	70	Ir24
Ir24IehIn22	Ir24IehIn	2	2	0.07	206	35	Ir24
Ir24IehIn23	Ir24IehIn	2	3	0.15	213	62	Ir24
Ir24IehIn24	Ir24IehIn	2	4	0.09	242	34	Ir24
Ir24JehIn11	Ir24JehIn	1	1	0.18	330	116	Ir24
Ir24JehIn12	Ir24JehIn	1	2	0.12	275	52	Ir24
Ir24JehIn13	Ir24JehIn	1	3	0.21	330	143	Ir24
Ir24JehIn14	Ir24JehIn	1	4	0.12	282	48	Ir24
Ir24JehIn15	Ir24JehIn	1	5	0.07	243	112	Ir24
Ir24JehIn21	Ir24JehIn	2	1	0.27	385	57	Ir24
Ir24JehIn22	Ir24JehIn	2	2	0.07	208	45	Ir24
Ir24JehIn23	Ir24JehIn	2	3	0.16	298	53	Ir24
Ir24JehIn24	Ir24JehIn	2	4	0.11	243	84	Ir24
