Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
B4012Hb	0.264	0.0183	956.1	0.920	0.659	24.6	91.3	5000.0	943.0	0.683	0.0799	4.51	6.51	1.96
B4012Hc	0.110	0.0469	1258.7	0.975	0.765	78.6	234.6	5000.0	1250.0	0.649	0.0246	5.46	7.87	2.37
B4012He	0.199	0.0279	1085.4	0.949	0.707	38.9	139.3	5000.0	1078.0	0.635	0.0514	4.94	7.12	2.14
B4014Ha	0.203	0.024	1159.0	0.939	0.679	31.3	119.9	5000.0	1147.0	0.693	0.0608	4.79	6.91	2.08
B4014Hc	0.228	0.0139	1009.2	0.908	0.614	18.5	69.5	5000.0	997.0	0.692	0.0919	4.24	6.12	1.84
B4014Hd	0.189	0.0164	955.2	0.936	0.643	25.8	81.8	5000.0	943.0	0.674	0.0637	4.40	6.35	1.91
B4018Ha	0.0392	0.125	1687.8	0.994	0.866	296.7	622.7	5000.0	1681.0	0.617	0.00616	6.43	9.28	2.79
B4018Hd	0.0436	0.074	1257.0	0.991	0.829	181.1	370.2	5000.0	1250.0	0.597	0.00925	5.91	8.53	2.57
B4018Hf	0.0432	0.106	1601.0	0.993	0.851	247.5	531.3	5000.0	1593.0	0.637	0.00729	6.28	9.05	2.73
B4019Ha	0.121	0.0536	1387.5	0.972	0.774	76.6	268.0	5000.0	1377.0	0.652	0.0284	5.59	8.07	2.43
B4019Hb	0.152	0.0415	1209.7	0.967	0.752	62.5	207.5	5000.0	1200.0	0.654	0.0335	5.34	7.70	2.32
B4019Hc	0.111	0.0415	1128.0	0.976	0.760	77.6	207.7	5000.0	1116.0	0.639	0.0237	5.34	7.70	2.32
C4025Hc	0.126	0.0506	1238.3	0.977	0.778	89.9	252.8	5000.0	1228.0	0.662	0.0229	5.53	7.98	2.40
C4025He	0.187	0.0394	1278.7	0.957	0.739	50.5	197.1	5000.0	1268.0	0.663	0.0435	5.28	7.62	2.29
C4025Hf	0.132	0.0617	1422.0	0.974	0.790	88.3	308.6	5000.0	1413.0	0.622	0.0257	5.73	8.27	2.49
D4034Hc	0.0526	0.107	1593.5	0.992	0.853	233.9	537.2	5000.0	1586.0	0.619	0.00844	6.29	9.07	2.73
D4034Hd	0.110	0.0618	1482.3	0.976	0.786	90.8	309.0	5000.0	1474.0	0.652	0.0236	5.73	8.27	2.49
D4034He	0.102	0.0769	1622.2	0.980	0.806	112.8	384.5	5000.0	1613.0	0.655	0.0198	5.95	8.59	2.58
D4037Ha	0.0718	0.0869	1603.0	0.987	0.824	161.5	434.5	5000.0	1594.0	0.657	0.0125	6.07	8.76	2.64
D4037Hc	0.132	0.0568	1377.7	0.975	0.782	88.0	284.0	5000.0	1368.0	0.651	0.0247	5.65	8.15	2.45
D4037Hf	0.0702	0.0725	1419.3	0.987	0.813	142.9	362.5	5000.0	1410.0	0.646	0.0134	5.89	8.50	2.56
E4043Ha	0.058	0.0578	1277.8	0.985	0.793	117.8	289.1	5000.0	1268.0	0.635	0.0148	5.67	8.18	2.46
E4043Hc	0.0816	0.0687	1469.5	0.983	0.801	116.0	343.4	5000.0	1460.0	0.647	0.0175	5.84	8.42	2.54
E4043Hf	0.0674	0.0982	1620.1	0.989	0.839	187.4	490.8	5000.0	1614.0	0.620	0.0111	6.20	8.94	2.69
E4045Hd	0.0424	0.101	1586.8	0.992	0.845	224.3	504.7	5000.0	1577.0	0.648	0.00823	6.22	8.98	2.70
E4045He	0.102	0.0612	1363.2	0.982	0.794	110.7	306.1	5000.0	1353.0	0.654	0.0181	5.72	8.26	2.49
E4045Hf	0.0674	0.0787	1481.6	0.986	0.819	142.4	393.4	5000.0	1475.0	0.624	0.0143	5.97	8.62	2.59
E4049Ha	0.07	0.0756	1409.1	0.988	0.819	153.2	377.9	5000.0	1402.0	0.619	0.0123	5.93	8.56	2.58
E4049Hc	0.0896	0.054	1323.8	0.979	0.780	91.7	270.2	5000.0	1315.0	0.648	0.0215	5.60	8.08	2.43
E4049Hd	0.112	0.0352	1064.2	0.972	0.743	64.4	176.0	5000.0	1056.0	0.645	0.0282	5.17	7.46	2.25
F4056Hb	0.0544	0.101	1622.5	0.991	0.842	212.6	504.3	5000.0	1615.0	0.637	0.0091	6.22	8.98	2.70
F4056Hd	0.063	0.047	1187.0	0.983	0.772	98.6	234.8	5000.0	1175.0	0.662	0.0169	5.46	7.88	2.37
F4056He	0.0454	0.119	1806.8	0.992	0.852	240.9	593.2	5000.0	1798.0	0.664	0.00823	6.39	9.21	2.77
G4062Ha	0.118	0.0424	1252.3	0.970	0.752	64.9	212.2	5000.0	1244.0	0.638	0.0301	5.36	7.73	2.33
G4062Hb	0.187	0.0266	1014.8	0.953	0.707	41.5	133.1	5000.0	1007.0	0.634	0.0466	4.89	7.06	2.12
G4062Hf	0.117	0.0369	1134.9	0.969	0.743	61.1	184.6	5000.0	1125.0	0.644	0.0313	5.22	7.53	2.27
G4066Ha	0.155	0.0259	1007.1	0.958	0.705	43.0	129.4	5000.0	992.0	0.670	0.0423	4.86	7.02	2.11
G4066Hb	0.0654	0.0731	1485.0	0.985	0.809	132.8	365.4	5000.0	1478.0	0.629	0.0145	5.90	8.51	2.56
G4066Hc	0.0636	0.0751	1479.1	0.987	0.813	147.9	375.7	5000.0	1473.0	0.634	0.0126	5.93	8.55	2.57
H4075Hc	0.143	0.0215	872.5	0.962	0.692	43.5	107.5	5000.0	858.0	0.671	0.0375	4.68	6.75	2.03
H4075He	0.185	0.0333	1155.9	0.953	0.726	43.8	166.6	5000.0	1147.0	0.624	0.0472	5.12	7.38	2.22
H4075Hf	0.232	0.0188	932.8	0.932	0.665	27.4	94.0	5000.0	925.0	0.633	0.0679	4.54	6.55	1.97
