Supplementary Table 7b: Relative abundance of indica-enriched OTUs in faprotax pathway.																																							
	Xylanolysis	Cellulolysis	Sulfur respiration	Sulfur oxidation	Hydrogen oxidation	Nitrate ammonification	Nitrite ammonification	Nitrate respiration	Nitrite respiration	Nitrogen respiration	Manganese respiration	Iron respiration	Arsenate respiration	Fumarate respiration	Hydrocarbon degradation	Aromatic degradation	Fermentation																						
RA%	0.185	0.296	1.02	0.755	7.746	7.288	7.288	9.114	8.237	9.191	1.142	9.07	0.077	7.805	0.859	0.928	1.887																						
																																							
	RA%																																						
Total indica-enriched	27.297																																						
nitrogen-related	11.281																																						
sulfur-related	1.775																																						
iron-related	9.07																																						
																																							#REF!
OTUID	Xylanolysis	Cellulolysis	Sulfur respiration	Sulfur oxidation	Hydrogen oxidation	Nitrate ammonification	Nitrite ammonification	Nitrate respiration	Nitrite respiration	Nitrogen respiration	Manganese respiration	Iron respiration	Arsenate respiration	Fumarate respiration	Hydrocarbon degradation	Aromatic degradation	Fermentation	Mean(RA%)																					
OTU_219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028																					
OTU_496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099																					
OTU_118	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.12																					
OTU_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11																					
OTU_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08																					
OTU_275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125																					
OTU_195	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0.043																					
OTU_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121																					
OTU_494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038																					
OTU_777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025																					
OTU_540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05																					
