Supplementary Table 7b: Relative abundance of indica-enriched OTUs in faprotax pathway.																																							
	Xylanolysis	Cellulolysis	Sulfur respiration	Sulfur oxidation	Hydrogen oxidation	Nitrate ammonification	Nitrite ammonification	Nitrate respiration	Nitrite respiration	Nitrogen respiration	Manganese respiration	Iron respiration	Arsenate respiration	Fumarate respiration	Hydrocarbon degradation	Aromatic degradation	Fermentation																						
OTU_220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052																					
OTU_191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059																					
OTU_544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07																					
OTU_246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05																					
OTU_155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044																					
OTU_628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141																					
OTU_438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025																					
OTU_233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052																					
OTU_182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091																					
OTU_926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.069																					
OTU_5629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057																					
OTU_199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056																					
OTU_396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057																					
OTU_340	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0.022																					
OTU_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.284																					
OTU_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.079																					
OTU_402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013																					
OTU_637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032																					
OTU_230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059																					
OTU_612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034																					
OTU_837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025																					
OTU_888	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0.019																					
OTU_303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02																					
OTU_136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115																					
OTU_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163																					
OTU_906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102																					
OTU_679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.041																					
OTU_179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1																					
OTU_374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028																					
OTU_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085																					
OTU_800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023																					
OTU_288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052																					
OTU_506	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0.028																					
OTU_172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082																					
OTU_378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081																					
OTU_716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029																					
OTU_575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024																					
OTU_525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061																					
OTU_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108																					
OTU_669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051																					
OTU_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158																					
OTU_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115																					
OTU_161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097																					
OTU_190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.056																					
OTU_261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.022																					
OTU_440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061																					
OTU_202	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06																					
OTU_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049																					
OTU_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057																					
OTU_1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012																					
OTU_329	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0.046																					
OTU_132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044																					
OTU_119	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0.203																					
OTU_47	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.208																					
OTU_144	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.086																					
OTU_2397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.033																					
OTU_392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031																					
OTU_348	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.012																					
OTU_961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033																					
OTU_410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069																					
OTU_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295																					
OTU_221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032																					
OTU_841	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0.008																					
OTU_4306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028																					
OTU_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.116																					
OTU_587	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0.019																					
OTU_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177																					
OTU_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066																					
OTU_178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075																					
OTU_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225																					
OTU_512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.059																					
OTU_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.053																					
OTU_1517	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0.019																					
OTU_791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026																					
OTU_310	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0.02																					
OTU_861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16																					
OTU_1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028																					
OTU_730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021																					
OTU_675	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.022																					
OTU_282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02																					
OTU_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13																					
OTU_164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096																					
OTU_384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032																					
OTU_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.274																					
OTU_81	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0.415																					
OTU_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273																					
OTU_169	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051																					
OTU_8	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	2.63																					
OTU_786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048																					
OTU_30	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0.625																					
OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.225																					
OTU_61	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0.135																					
OTU_66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.115																					
OTU_2378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017																					
OTU_620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032																					
OTU_3464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.071																					
OTU_121	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0.053																					
OTU_11	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	3.895																					
OTU_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177																					
OTU_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153																					
OTU_316	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.067																					
OTU_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21																					
OTU_1954	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0.643																					
OTU_350	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0.12																					
OTU_528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02																					
OTU_439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025																					
OTU_712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026																					
OTU_406	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0.024																					
OTU_236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1																					
OTU_461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031																					
OTU_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.161																					
OTU_386	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0.102																					
OTU_142	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.074																					
OTU_37	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0.242																					
OTU_138	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0.247																					
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089																					
OTU_365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029																					
OTU_243	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0.031																					
OTU_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.266																					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
