Supplementary Table 13b: Phenotypic data of synthetic consortia colonization of germ-free plants experiment (Inorganic nitrogen). Related to Supplementary Fig. 12.					
GroupID	Pot	Replicate	Fresh Weight(g)	Plant Height(mm)	Root Length(mm)
NipGfIn0v2	1	1	0.53	434	110
NipGfIn0v2	1	2	0.59	441	141
NipGfIn0v2	1	3	0.58	452	191
NipGfIn0v2	1	4	0.63	436	111
NipGfIn0v2	2	1	0.47	467	105
NipGfIn0v2	2	2	0.5	423	104
NipGfIn0v2	2	3	0.44	435	91
NipGfIn0v2	2	4	0.65	463	195
NipGfIn0v2	2	5	0.61	404	199
NipGfIn0v2	3	1	0.51	428	105
NipGfIn0v2	3	2	0.54	433	132
NipGfIn0v2	3	3	0.52	439	268
NipGfIn0v2	3	4	0.51	420	155
NipGfIn2v0	1	1	0.85	476	116
NipGfIn2v0	1	2	0.53	466	116
NipGfIn2v0	1	3	0.66	448	106
NipGfIn2v0	1	4	0.79	483	135
NipGfIn2v0	2	1	0.52	442	120
NipGfIn2v0	2	2	0.73	442	115
NipGfIn2v0	2	3	0.67	442	105
NipGfIn2v0	2	4	0.47	420	131
NipGfIn2v0	2	5	0.62	450	164
NipGfIn2v0	3	1	0.72	412	137
NipGfIn2v0	3	2	0.9	459	106
NipGfIn2v0	3	3	0.64	440	102
NipGfIn2v0	3	4	0.47	430	146
NipGfIn2v0	3	5	0.44	421	100
NipGfIn1v1	1	1	0.47	430	126
NipGfIn1v1	1	2	0.6	456	130
NipGfIn1v1	1	3	0.59	445	86
NipGfIn1v1	1	4	0.75	477	144
NipGfIn1v1	2	1	0.63	422	210
NipGfIn1v1	2	2	0.52	415	122
NipGfIn1v1	2	3	0.56	450	130
NipGfIn1v1	2	4	0.57	428	168
NipGfIn1v1	2	5	0.72	461	157
NipGfIn1v1	3	1	0.62	481	103
NipGfIn1v1	3	2	0.6	458	113
NipGfIn1v1	3	3	0.59	448	148
NipGfIn1v1	3	4	0.6	474	102
NipGfIn1v1	3	5	0.55	463	138
NipGfIn1v2	1	1	0.6	454	145
NipGfIn1v2	1	2	0.51	469	111
NipGfIn1v2	1	3	0.59	459	154
NipGfIn1v2	1	4	0.43	401	186
NipGfIn1v2	1	5	0.6	433	162
NipGfIn1v2	2	1	0.52	439	124
NipGfIn1v2	2	2	0.48	421	129
NipGfIn1v2	2	3	0.55	440	164
NipGfIn1v2	2	4	0.59	424	148
NipGfIn1v2	3	1	0.66	452	206
NipGfIn1v2	3	2	0.65	460	177
NipGfIn1v2	3	3	0.48	431	109
NipGfIn1v2	3	4	0.64	450	119
NipGfIn1v2	3	5	0.55	444	110
NipGfIn2v1	1	1	0.72	456	128
NipGfIn2v1	1	2	0.77	478	105
NipGfIn2v1	1	3	0.57	473	89
NipGfIn2v1	1	4	0.6	476	96
NipGfIn2v1	1	5	0.64	475	97
NipGfIn2v1	2	1	0.69	445	135
NipGfIn2v1	2	2	0.61	454	143
NipGfIn2v1	2	3	0.62	437	156
NipGfIn2v1	2	4	0.59	439	127
NipGfIn2v1	3	1	0.67	452	110
NipGfIn2v1	3	2	0.66	437	123
NipGfIn2v1	3	3	0.63	450	96
NipGfIn2v1	3	4	0.66	456	100
NipGfIn2v1	3	5	0.68	434	145
Ir24GfIn0v2	1	1	0.4	347	77
Ir24GfIn0v2	1	2	0.38	327	319
Ir24GfIn0v2	1	3	0.47	360	261
Ir24GfIn0v2	1	4	0.35	327	184
Ir24GfIn0v2	2	1	0.52	388	112
Ir24GfIn0v2	2	2	0.57	381	207
Ir24GfIn0v2	2	3	0.47	377	216
Ir24GfIn0v2	2	4	0.31	359	127
Ir24GfIn0v2	2	5	0.41	353	179
Ir24GfIn0v2	3	1	0.44	392	126
Ir24GfIn0v2	3	2	0.43	371	116
Ir24GfIn0v2	3	3	0.44	380	178
Ir24GfIn0v2	3	4	0.44	403	175
Ir24GfIn0v2	3	5	0.44	381	105
Ir24GfIn2v0	1	1	0.49	391	42
Ir24GfIn2v0	1	2	0.55	408	79
Ir24GfIn2v0	1	3	0.57	407	104
Ir24GfIn2v0	1	4	0.45	388	69
Ir24GfIn2v0	1	5	0.6	412	108
Ir24GfIn2v0	2	1	0.46	403	87
Ir24GfIn2v0	2	2	0.56	414	108
Ir24GfIn2v0	2	3	0.49	400	94
Ir24GfIn2v0	2	4	0.6	442	97
Ir24GfIn2v0	3	1	0.58	378	120
Ir24GfIn2v0	3	2	0.59	415	100
Ir24GfIn2v0	3	3	0.55	402	68
Ir24GfIn2v0	3	4	0.6	429	87
Ir24GfIn2v0	3	5	0.48	409	38
Ir24GfIn1v1	1	1	0.44	379	89
Ir24GfIn1v1	1	2	0.62	408	118
Ir24GfIn1v1	1	3	0.55	402	135
Ir24GfIn1v1	1	4	0.47	362	122
Ir24GfIn1v1	1	5	0.59	423	152
Ir24GfIn1v1	2	1	0.56	395	157
Ir24GfIn1v1	2	2	0.53	402	134
Ir24GfIn1v1	2	3	0.57	398	123
Ir24GfIn1v1	2	4	0.56	400	106
Ir24GfIn1v1	3	1	0.59	385	149
Ir24GfIn1v1	3	2	0.55	398	139
Ir24GfIn1v1	3	3	0.62	410	153
Ir24GfIn1v1	3	4	0.31	342	147
Ir24GfIn1v1	3	5	0.67	421	113
Ir24GfIn1v2	1	1	0.41	372	135
Ir24GfIn1v2	1	2	0.6	392	164
Ir24GfIn1v2	1	3	0.44	380	153
Ir24GfIn1v2	1	4	0.42	371	141
Ir24GfIn1v2	2	1	0.53	365	198
Ir24GfIn1v2	2	2	0.45	377	208
Ir24GfIn1v2	2	3	0.63	385	150
Ir24GfIn1v2	2	4	0.52	383	99
Ir24GfIn1v2	2	5	0.49	356	80
Ir24GfIn1v2	3	1	0.58	370	233
Ir24GfIn1v2	3	2	0.61	382	145
Ir24GfIn1v2	3	3	0.51	366	101
Ir24GfIn1v2	3	4	0.42	361	120
Ir24GfIn1v2	3	5	0.46	369	119
Ir24GfIn2v1	1	1	0.35	351	69
Ir24GfIn2v1	1	2	0.49	373	86
Ir24GfIn2v1	1	3	0.3	342	104
Ir24GfIn2v1	1	4	0.27	324	124
Ir24GfIn2v1	1	5	0.48	374	100
Ir24GfIn2v1	2	1	0.49	378	95
Ir24GfIn2v1	2	2	0.32	359	71
Ir24GfIn2v1	2	3	0.5	379	119
Ir24GfIn2v1	2	4	0.56	379	117
Ir24GfIn2v1	3	1	0.6	430	86
Ir24GfIn2v1	3	2	0.65	412	137
Ir24GfIn2v1	3	3	0.6	403	108
Ir24GfIn2v1	3	4	0.61	427	94
NipIeIn0v2	1	1	0.4	444	100
NipIeIn0v2	1	2	0.36	382	100
NipIeIn0v2	1	3	0.31	416	116
NipIeIn0v2	1	4	0.28	317	198
NipIeIn0v2	2	1	0.28	381	125
NipIeIn0v2	2	2	0.42	414	132
NipIeIn0v2	2	3	0.38	397	143
NipIeIn0v2	2	4	0.19	341	116
NipIeIn0v2	2	5	0.57	455	177
NipIeIn0v2	3	1	0.43	434	124
NipIeIn0v2	3	2	0.32	391	53
NipIeIn0v2	3	3	0.38	424	121
NipIeIn0v2	3	4	0.28	410	157
NipIeIn0v2	3	5	0.33	388	114
NipIeIn2v0	1	1	0.54	435	125
NipIeIn2v0	1	2	0.35	412	83
NipIeIn2v0	1	3	0.49	422	94
NipIeIn2v0	1	4	0.54	436	119
NipIeIn2v0	1	5	0.51	431	101
NipIeIn2v0	2	1	0.56	449	83
NipIeIn2v0	2	2	0.51	432	103
NipIeIn2v0	2	3	0.6	440	138
NipIeIn2v0	2	4	0.53	432	96
NipIeIn2v0	2	5	0.56	436	72
NipIeIn2v0	3	1	0.32	415	119
NipIeIn2v0	3	2	0.53	477	85
NipIeIn2v0	3	3	0.7	455	90
NipIeIn2v0	3	4	0.36	410	75
NipIeIn1v1	1	1	0.32	406	96
NipIeIn1v1	1	2	0.57	455	125
NipIeIn1v1	1	3	0.62	425	103
NipIeIn1v1	1	4	0.5	405	134
NipIeIn1v1	1	5	0.6	532	15
NipIeIn1v1	2	1	0.51	439	135
NipIeIn1v1	2	2	0.65	451	107
NipIeIn1v1	2	3	0.45	438	74
NipIeIn1v1	2	4	0.5	463	89
NipIeIn1v1	2	5	0.37	420	79
NipIeIn1v1	3	1	0.59	440	122
NipIeIn1v1	3	2	0.63	431	109
NipIeIn1v1	3	3	0.62	441	104
NipIeIn1v1	3	4	0.26	388	53
NipIeIn1v2	1	1	0.55	433	141
NipIeIn1v2	1	2	0.42	422	109
NipIeIn1v2	1	3	0.59	430	158
NipIeIn1v2	1	4	0.47	441	151
NipIeIn1v2	2	1	0.3	381	103
NipIeIn1v2	2	2	0.53	420	98
