OTU ID	Phylum	Class	Order	Family	Genus
OTU_7	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter
OTU_12	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
OTU_27	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cedecea
OTU_19	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia
OTU_35	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea
OTU_20	Proteobacteria	Gammaproteobacteria	Clostridiales	Chloroplast	Streptophyta
OTU_30	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Georgfuchsia
OTU_32	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
OTU_33	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium
OTU_13	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
OTU_29	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Mobilicoccus
OTU_36	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Tepidimonas
OTU_50	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vogesella
OTU_38	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_42	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Fusibacter
OTU_57	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Rubrobacter
OTU_49	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Gallionella
OTU_47	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
OTU_37	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Geobacter
OTU_40	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
OTU_45	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Leptonema
OTU_59	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
OTU_39	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Piscinibacter
OTU_51	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Dyella
OTU_53	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XII	Exiguobacterium
OTU_55	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
OTU_65	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Natronoflexus
OTU_43	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas
OTU_46	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Pseudogulbenkiania
OTU_54	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania
OTU_48	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter
OTU_41	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium
OTU_52	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea
OTU_63	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
OTU_56	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio
OTU_34	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Micromonospora
OTU_58	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
OTU_62	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium
OTU_61	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
OTU_60	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga
OTU_68	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
OTU_64	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_66	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfomonile
OTU_67	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus
OTU_69	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium
OTU_76	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes
OTU_73	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas
OTU_84	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Chondromyces
OTU_80	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania
OTU_75	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
OTU_71	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
OTU_70	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
OTU_89	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
OTU_74	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
OTU_86	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
OTU_88	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XII	Acidaminobacter
OTU_87	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
OTU_90	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira
OTU_72	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Aquitalea
OTU_91	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
OTU_78	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
OTU_96	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
OTU_82	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas
OTU_102	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Dissulfuribacter
OTU_81	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea
OTU_100	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
OTU_95	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_85	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
OTU_98	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
OTU_92	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio
OTU_93	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides
OTU_101	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
OTU_94	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
OTU_83	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes
OTU_109	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
OTU_97	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola
OTU_99	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter
OTU_112	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea
OTU_105	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
OTU_113	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium
OTU_118	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa
OTU_104	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ciceribacter
OTU_114	Proteobacteria	Betaproteobacteria	Burkholderiales	Neisseriaceae	Pseudogulbenkiania
OTU_115	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter
OTU_127	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
OTU_107	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Leeia
OTU_111	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia
OTU_128	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas
OTU_129	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
OTU_106	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
OTU_133	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_108	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
OTU_131	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Actinotalea
OTU_121	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Melioribacter
OTU_124	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Marinifilum
OTU_116	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
OTU_142	Proteobacteria	Alphaproteobacteria	Rhizobiales	Clostridiales_Incertae_Sedis_III	Caldicellulosiruptor
OTU_117	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
OTU_119	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
OTU_122	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum
OTU_145	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
OTU_147	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter
OTU_132	Bacteroidetes	Bacteroidetes_incertae_sedis	Bacteroidales	Marinilabiliaceae	Marinifilum
OTU_123	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
OTU_125	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia
OTU_135	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
OTU_134	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_151	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio
OTU_148	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium
OTU_156	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
OTU_141	Proteobacteria	Chloroplast	Rhizobiales	Chloroplast	Streptophyta
OTU_138	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans
OTU_152	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter
OTU_136	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
OTU_137	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas
OTU_150	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas
OTU_140	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
OTU_143	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
OTU_155	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
OTU_144	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_139	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter
OTU_163	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Chitinimonas
OTU_161	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter
OTU_146	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola
OTU_149	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Methyloversatilis
OTU_171	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_167	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium
OTU_170	Proteobacteria	Deltaproteobacteria	Clostridiales	Mycoplasmataceae	Mycoplasma
OTU_165	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
OTU_172	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Thiomonas
OTU_164	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Natronoflexus
OTU_153	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus
OTU_162	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_154	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides
OTU_181	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Parcubacteria_genera_incertae_sedis
OTU_160	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter
OTU_166	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia
OTU_179	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella
OTU_175	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus
OTU_180	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
OTU_169	Proteobacteria	Clostridia	Clostridiales	Ruminococcaceae	Pseudobacteroides
OTU_184	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Cryobacterium
OTU_187	Proteobacteria	Deltaproteobacteria	Clostridiales	Geobacteraceae	Geobacter
OTU_174	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira
OTU_168	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Mycetocola
OTU_190	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
OTU_173	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia
OTU_186	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania
OTU_191	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1
OTU_183	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_178	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea
OTU_177	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio
OTU_198	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium
OTU_182	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
OTU_193	Proteobacteria	Oligoflexia	Oligoflexales	Oligoflexaceae	Oligoflexus
OTU_199	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_2	Ammoniphilus
OTU_194	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Gp3
OTU_185	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas
OTU_189	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera
OTU_202	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Acidothermus
OTU_216	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroides
OTU_200	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azovibrio
OTU_201	Proteobacteria	Actinobacteria	Actinomycetales	Xanthomonadaceae	Streptomyces
OTU_195	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea
OTU_203	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Povalibacter
OTU_196	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum
OTU_192	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter
OTU_217	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
OTU_211	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
OTU_221	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
OTU_205	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_197	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides
OTU_224	Actinobacteria	Actinobacteria	Actinomycetales	Demequinaceae	Demequina
OTU_220	Actinobacteria	Actinobacteria	Solirubrobacterales	Gaiellaceae	Gaiella
OTU_209	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
OTU_214	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas
OTU_218	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Phreatobacter
OTU_219	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
OTU_206	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Vasilyevaea
OTU_210	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Lapillicoccus
OTU_208	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium
OTU_233	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
OTU_236	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium
OTU_243	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
OTU_246	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
OTU_241	Bacteroidetes	Bacteroidia	Bacteroidales	Cryomorphaceae	Owenweeksia
OTU_244	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
OTU_252	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
OTU_222	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
OTU_242	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Verrucosispora
OTU_230	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
OTU_225	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter
OTU_226	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
OTU_248	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XII	Fusibacter
OTU_227	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	Unassigned	Rhizomicrobium
OTU_234	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae_incertae_sedis	Aciditerrimonas
OTU_254	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum
OTU_235	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides
OTU_231	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
OTU_250	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania
OTU_249	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium
OTU_251	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Humibacillus
OTU_260	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum
OTU_239	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
OTU_247	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
OTU_261	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter
OTU_262	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_237	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
OTU_263	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_259	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
OTU_255	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
OTU_256	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces
OTU_273	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
OTU_277	Proteobacteria	Clostridia	Clostridiales	Ruminococcaceae	Pseudobacteroides
OTU_274	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ancalomicrobium
OTU_257	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Sinomonas
OTU_267	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis
OTU_229	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus
OTU_271	Acidobacteria	Acidobacteria_Gp7	Unassigned	Unassigned	Gp7
OTU_272	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus
OTU_266	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter
OTU_281	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
OTU_276	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella
OTU_268	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
OTU_264	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter
OTU_288	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
OTU_275	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura
OTU_284	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes
OTU_265	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
OTU_289	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
OTU_279	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
OTU_296	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionicimonas
OTU_280	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Chryseolinea
OTU_290	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
OTU_283	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium
OTU_298	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
OTU_286	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
OTU_295	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
OTU_278	Actinobacteria	Actinobacteria	Actinomycetales	Gaiellaceae	Gaiella
OTU_285	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Saccharomonospora
OTU_282	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
OTU_299	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_302	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Aciditerrimonas
OTU_287	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
OTU_301	Proteobacteria	Planctomycetia	Planctomycetales	Planctomycetaceae	Desulfovibrio
OTU_293	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
OTU_305	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
OTU_294	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
OTU_297	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
OTU_312	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina
OTU_314	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
OTU_316	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
OTU_311	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Psychrosinus
OTU_313	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus
OTU_303	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
OTU_309	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
OTU_307	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
