OTU ID	Phylum	Class	Order	Family	Genus
OTU_26	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
OTU_3	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
OTU_22	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter
OTU_15	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas
OTU_2	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
OTU_6	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
OTU_31	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Chloroplast	Streptophyta
OTU_23	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer
OTU_28	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
OTU_4	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
OTU_9	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans
OTU_14	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
OTU_21	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus
OTU_16	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus
OTU_25	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus
OTU_18	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
OTU_10	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
OTU_5	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XII	Exiguobacterium
OTU_11	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter
OTU_8	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter
OTU_24	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
