Supplementary Table 6: Differential abundance of OTUs between indica and japonica; details of OTUs in each part of Venn diagrams in Figure 3.														
Supplementary Table 6a: Differential abundance of OTUs between indica and japonica in Field I.														
OTUID	logFC	logCPM	P value	FDR 	level	Phylum	Class	Order	Family	Genus	Indica	Japonica	Indica_Soil	Japonica_Soil
OTU_123	1.251	13.671	1.57868E-11	4.45537E-11	Enriched	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	0.121	0.051	Enriched	Enriched
OTU_124	1.208	11.812	2.14096E-10	5.58703E-10	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Marinifilum	0.1	0.043	Enriched	Enriched
OTU_125	0.458	13.875	0.000328946	0.000511544	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	0.058	0.042	Enriched	Enriched
OTU_127	0.553	13.322	0.019111615	0.024851623	NotSig	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	0.07	0.047	Enriched	Enriched
OTU_1278	0.799	12.151	2.3918E-06	4.51126E-06	Enriched	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azonexus	0.065	0.037	Enriched	Enriched
OTU_128	-1.533	15.242	1.31511E-05	2.35238E-05	Depleted	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	0.087	0.252	Enriched	Enriched
OTU_129	-0.16	13.97	0.028141339	0.035859031	NotSig	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	0.123	0.137	Enriched	Enriched
OTU_13	0.296	11.569	0.146447025	0.168568932	NotSig	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	0.028	0.023	Enriched	Enriched
OTU_131	0.359	13.484	0.006497319	0.009101024	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Actinotalea	0.126	0.098	Enriched	Enriched
OTU_132	0.705	12.22	0.000592752	0.000914325	Enriched	Bacteroidetes	Bacteroidetes_incertae_sedis	Bacteroidales	Marinilabiliaceae	Marinifilum	0.088	0.054	Enriched	Enriched
OTU_133	0.156	14.766	0.935820081	0.946387625	NotSig	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.212	0.191	Enriched	Enriched
OTU_1334	1.483	10.19	3.45815E-21	3.87516E-20	Enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	0.033	0.012	Depleted	Depleted
OTU_134	-0.172	12.705	0.06895164	0.083664251	NotSig	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.069	0.078	Enriched	Enriched
OTU_135	0.837	13.608	0.241157546	0.266321812	NotSig	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0.108	0.06	NotSig	NotSig
OTU_1352	-0.292	12.23	0.474271762	0.49778937	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	0.009	0.011	Enriched	Enriched
OTU_136	1.339	12.343	1.259E-27	4.7968E-25	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.217	0.086	Depleted	Depleted
OTU_137	1.037	16.687	0.000909974	0.001370357	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	0.136	0.066	Enriched	NotSig
OTU_1378	1.076	13.016	0.002543141	0.003712402	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Sphaerotilus	0.072	0.034	Enriched	Enriched
OTU_138	1.44	13.222	3.16157E-17	1.74574E-16	Enriched	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans	0.277	0.102	Enriched	NotSig
OTU_139	0.858	10.724	0.002519143	0.003691513	Enriched	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	0.008	0.004	Enriched	Enriched
OTU_14	-0.69	8.338	0.228016704	0.254763531	NotSig	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	0.001	0.002	Enriched	Enriched
OTU_140	0.849	8.637	0.005323757	0.007540339	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	0.002	0.001	Enriched	Enriched
OTU_141	1.111	12.395	6.05742E-15	2.35498E-14	Enriched	Proteobacteria	Chloroplast	Rhizobiales	Chloroplast	Streptophyta	0.152	0.07	Enriched	NotSig
OTU_142	0.798	11.354	5.07858E-10	1.28142E-09	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Clostridiales_Incertae_Sedis_III	Caldicellulosiruptor	0.101	0.058	Enriched	Enriched
OTU_143	0.685	14.085	0.000156971	0.000248158	Enriched	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0.213	0.133	Depleted	Depleted
OTU_144	0.428	13.053	0.009180593	0.012627458	Enriched	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.096	0.071	Enriched	Enriched
OTU_1443	3.159	14.073	2.99345E-07	5.97122E-07	Enriched	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	0.024	0.003	Enriched	Enriched
OTU_145	0.933	12.14	2.67463E-13	8.7097E-13	Enriched	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	0.145	0.076	Enriched	Enriched
OTU_146	1.13	12.279	3.94885E-17	2.11903E-16	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola	0.105	0.048	NotSig	Depleted
OTU_147	0.855	11.844	0.429863804	0.456980374	NotSig	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	0.016	0.009	Enriched	Enriched
OTU_148	0.777	10.328	0.203406757	0.228607594	NotSig	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	0.007	0.004	Enriched	Enriched
OTU_15	-1.068	15.917	3.91663E-16	1.75557E-15	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	0.816	1.71	Enriched	Enriched
OTU_1517	1.106	9.79	8.79054E-17	4.29384E-16	Enriched	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	0.036	0.017	Depleted	Depleted
OTU_152	-4.528	15.933	5.80781E-07	1.13476E-06	Depleted	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	0.02	0.467	Enriched	Enriched
OTU_153	-0.183	12.418	0.072759739	0.088004637	NotSig	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus	0.059	0.067	Enriched	Enriched
OTU_155	1.207	12.652	5.28547E-18	3.30125E-17	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.104	0.045	Enriched	NotSig
OTU_16	-0.419	14.214	0.456730114	0.480702137	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	0.104	0.139	NotSig	Enriched
OTU_160	0.491	13.033	0.006228013	0.008755989	Enriched	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	0.054	0.039	Enriched	Enriched
OTU_161	1.15	12.99	1.13344E-18	7.92012E-18	Enriched	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	0.226	0.102	Depleted	Depleted
OTU_162	0.555	10.937	0.182918479	0.208658504	NotSig	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.015	0.011	Enriched	Enriched
OTU_164	1.04	12.886	6.97948E-15	2.68604E-14	Enriched	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Natronoflexus	0.197	0.096	Enriched	NotSig
OTU_165	0.398	12.919	0.68781293	0.714339891	NotSig	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter	0.095	0.072	Enriched	NotSig
OTU_166	0.562	13.225	5.02548E-05	8.32481E-05	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	0.026	0.018	Enriched	Enriched
OTU_1672	1.392	9.576	7.14479E-17	3.5818E-16	Enriched	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermogemmatisporaceae	Thermogemmatispora	0.021	0.008	Depleted	Depleted
OTU_168	0.971	10.199	1.91068E-09	4.55108E-09	Enriched	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Mycetocola	0.026	0.013	Enriched	NotSig
OTU_169	0.325	11.997	0.009445534	0.01289874	Enriched	Proteobacteria	Clostridia	Clostridiales	Ruminococcaceae	Pseudobacteroides	0.129	0.103	Enriched	Enriched
OTU_1697	1.57	9.698	5.16313E-24	1.51319E-22	Enriched	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0.031	0.01	Depleted	Depleted
OTU_171	0.788	9.313	0.0773315	0.092944169	NotSig	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.005	0.003	Enriched	Enriched
OTU_172	1.153	11.812	1.2889E-20	1.22768E-19	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Thiomonas	0.125	0.056	Depleted	Depleted
