Supplementary Table 2: Information of indica and japonica varieties.						
No.	ID	Latitude	Longitude	Regions	Subspecies	Variety
1	A4002	-5.12713	108.295	SouthPacific	indica	MayangKhang
2	A4010	28.8086	105.512	China	indica	AoChiu2Hao
3	B4012	40.6773	3.46707	WesternEurope	japonica	Bombilla
4	B4014	10	-84.5	CentralAmerica	indica	BERLIN
5	B4017	40.5641	138.369	NorthPacific	japonica	SHIMIZUMOCHI
6	B4018	4.23817	-54.7294	SouthAmerica	indica	81B/25
7	B4019	20.8999	-79.9175	CentralAmerica	indica	ChinChin
8	B4020	50.794	22.2258	EasternEurope	japonica	ItalicaCarolina
9	C4021	44.8336	38.1651	EasternEurope	japonica	KRASNODARSKIJ424
10	C4022	40.3141	-8.37204	WesternEurope	japonica	Pergonil15
11	C4025	43.656	142.192	NorthPacific	japonica	NORIN11
12	C4027	40.0171	69.2705	Balkans	japonica	UZROSZM38
13	D4034	19.2231	78.1418	Subcontinent	indica	WarrangalCulture1252
14	D4037	37.1662	126.366	NorthPacific	indica	WonSonZoNo.11
15	D4040	22.0908	121.428	China	indica	AiChuehTaPaiKu
16	E4041	16.8168	105.544	SoutheastAsia	indica	Thang10
17	E4043	3.80502	-57.1456	SouthAmerica	indica	TJ
18	E4044	7.02404	81.393	Subcontinent	indica	PD46
19	E4045	1.97136	110.966	SouthPacific	indica	Acheh
20	E4047	2.75086	-56.5343	SouthAmerica	indica	K8C-263-3
21	E4048	9.40946	-10.4584	Africa	indica	Djimoron
22	E4049	20.9237	77.7569	Subcontinent	indica	Anandi
23	E4050	35.5537	103.395	China	indica	Chun118-33
24	F4054	15.1354	100.393	SoutheastAsia	indica	NamDawkMai
25	F4055	13.5779	18.2232	Africa	indica	GUYANE1
26	F4056	2.89662	102.324	SouthPacific	indica	MAHSURI
27	F4057	0.330314	-81.3986	SouthAmerica	indica	INIAP7
28	F4060	48.3979	67.0198	Balkans	indica	DichroaAlefUslkij
29	G4061	13.9579	99.6854	SoutheastAsia	indica	BKN6987-68-14
30	G4062	16.0132	122.161	SouthPacific	indica	IR4482-5-3-9-5
31	G4065	15.6611	120.451	SouthPacific	indica	IR9660-48-1-1-2
32	G4066	7.717	81.7	Subcontinent	indica	Bakiella1
33	H4071	39.1759	71.2467	Balkans	japonica	WIR3039
