Site	EFD	Latitude	Longitude	Regions	New_Structure	GSOR	EFD	ACIMPT	TAXON	ACP	ACNO	PLANTID	COUNTRY	RECEIVED	Latitude	Longitude	Regions	New_Structure
1	A4002	-5.12713	108.295	SouthPacific	IND	310015	A4002		Oryzasativa	CIor	7155	MayangKhang	Indonesia	10563	-5.12713	108.295	SouthPacific	IND
2	A4010	28.8086	105.512	China	IND	310100	A4010	LANDRACE	Oryzasativa	PI	160700	AoChiu2Hao	China	17496	28.8086	105.512	China	IND
3	B4012	40.6773	3.46707	WesternEurope	TEJ	310111	B4012		Oryzasativa	PI	168946	Bombilla	Spain	17838	40.6773	3.46707	WesternEurope	TEJ
4	B4014	10	-84.5	CentralAmerica	IND	310134	B4014		Oryzasativa	PI	202864	BERLIN	CostaRica	19238	10	-84.5	CentralAmerica	IND
5	B4017	40.5641	138.369	NorthPacific	TEJ	310161	B4017		Oryzasativa	PI	226204	SHIMIZUMOCHI	Japan	20246	40.5641	138.369	NorthPacific	TEJ
6	B4018	4.23817	-54.7294	SouthAmerica	IND	310196	B4018		Oryzasativa	PI	263813	81B/25	Suriname	21982	4.23817	-54.7294	SouthAmerica	IND
7	B4019	20.8999	-79.9175	CentralAmerica	IND	310200	B4019		Oryzasativa	PI	264242	ChinChin	Panama	21993	20.8999	-79.9175	CentralAmerica	IND
8	B4020	50.794	22.2258	EasternEurope	TEJ	310204	B4020		Oryzasativa	PI	265110	ItalicaCarolina	Poland	22033	50.794	22.2258	EasternEurope	TEJ
9	C4021	44.8336	38.1651	EasternEurope	TEJ	310210	C4021		Oryzasativa	PI	266122	KRASNODARSKIJ424	RussianFederation	22075	44.8336	38.1651	EasternEurope	TEJ
10	C4022	40.3141	-8.37204	WesternEurope	TEJ	310211	C4022		Oryzasativa	PI	267996	Pergonil15	Portugal	22166	40.3141	-8.37204	WesternEurope	TEJ
11	C4025	43.656	142.192	NorthPacific	TEJ	310226	C4025		Oryzasativa	PI	281630	NORIN11	Japan	22809	43.656	142.192	NorthPacific	TEJ
12	C4027	40.0171	69.2705	Balkans	TEJ	310241	C4027		Oryzasativa	PI	291430	UZROSZM38	Uzbekistan	23168	40.0171	69.2705	Balkans	TEJ
13	D4034	19.2231	78.1418	Subcontinent	IND	310351	D4034		Oryzasativa	PI	373795	WarrangalCulture1252	India	26385	19.2231	78.1418	Subcontinent	IND
14	D4037	37.1662	126.366	NorthPacific	IND	310389	D4037	LANDRACE	Oryzasativa	PI	388304	WonSonZoNo.11	Korea	27093	37.1662	126.366	NorthPacific	IND
15	D4040	22.0908	121.428	China	IND	310415	D4040		Oryzasativa	PI	389037	AiChuehTaPaiKu	Taiwan	27273	22.0908	121.428	China	IND
16	E4041	16.8168	105.544	SoutheastAsia	IND	310420	E4041		Oryzasativa	PI	389234	Thang10	Vietnam	27273	16.8168	105.544	SoutheastAsia	IND
17	E4043	3.80502	-57.1456	SouthAmerica	IND	310440	E4043		Oryzasativa	PI	391218	TJ	Guyana	27353	3.80502	-57.1456	SouthAmerica	IND
18	E4044	7.02404	81.393	Subcontinent	IND	310442	E4044		Oryzasativa	PI	391264	PD46	SriLanka	27353	7.02404	81.393	Subcontinent	IND
19	E4045	1.97136	110.966	SouthPacific	IND	310446	E4045		Oryzasativa	PI	391691	Acheh	Malaysia	27360	1.97136	110.966	SouthPacific	IND
20	E4047	2.75086	-56.5343	SouthAmerica	IND	310475	E4047		Oryzasativa	PI	392813	K8C-263-3	Suriname	27428	2.75086	-56.5343	SouthAmerica	IND
21	E4048	9.40946	-10.4584	Africa	IND	310480	E4048		Oryzasativa	PI	393180	Djimoron	Guinea	27428	9.40946	-10.4584	Africa	IND
22	E4049	20.9237	77.7569	Subcontinent	IND	310481	E4049		Oryzasativa	PI	393292	Anandi	India	27428	20.9237	77.7569	Subcontinent	IND
23	E4050	35.5537	103.395	China	IND	310489	E4050		Oryzasativa	PI	400398	Chun118-33	China	27548	35.5537	103.395	China	IND
24	F4054	15.1354	100.393	SoutheastAsia	IND	310515	F4054		Oryzasativa	PI	403289	NamDawkMai	Thailand	27610	15.1354	100.393	SoutheastAsia	IND
25	F4055	13.5779	18.2232	Africa	IND	310519	F4055		Oryzasativa	PI	403422	GUYANE1	Chad	27610	13.5779	18.2232	Africa	IND
26	F4056	2.89662	102.324	SouthPacific	IND	310546	F4056		Oryzasativa	PI	408406	MAHSURI	Malaysia	27454	2.89662	102.324	SouthPacific	IND
