Supplementary Table 8: Differential abundance OTUs between the nrt1.1b mutant and wild-type ZH11; differential abundance OTUs between  NRT1.1Bindica and NRT1.1Bjaponica; details of OTUs in each part of Venn diagrams of Fig. 4.														
Supplementary Table 8a: Differential abundance OTUs between the nrt1.1b mutant and ZH11 wild type.														
nrt1.1b vs ZH11	logFC	logCPM	P value	FDR	level	Phylum	Class	Order	Family	Genus	MeanA	MeanB		
OTU_10	-2.356	16.252	5.50E-08	5.99E-07	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	0.727	3.722		
OTU_100	-1.84	10.262	2.17E-05	9.00E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	0.019	0.067		
OTU_102	-3.384	9.06	3.27E-06	2.04E-05	Depleted	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Dissulfuribacter	0.002	0.027		
OTU_1023	-1.361	11.579	9.54E-05	0.000313219	Depleted	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	0.039	0.101		
OTU_104	-1.314	13.779	1.91E-06	1.32E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ciceribacter	0.272	0.676		
OTU_105	-6.264	7.953	1.08E-05	5.17E-05	Depleted	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0	0.008		
OTU_106	-3.549	7.731	0.000273201	0.000778075	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.001	0.008		
OTU_108	-3.038	8.214	0.000777562	0.00194902	Depleted	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0.001	0.009		
OTU_11	-3.451	16.002	1.38E-08	2.18E-07	Depleted	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	0.335	3.668		
OTU_111	-2.755	11.744	5.50E-08	5.99E-07	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	0.021	0.14		
OTU_112	-3.272	7.366	1.89E-05	8.08E-05	Depleted	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.001	0.008		
OTU_1138	-1.834	12.662	0.000184689	0.000562933	Depleted	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.044	0.159		
OTU_114	-3.272	10.629	3.53E-06	2.05E-05	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Neisseriaceae	Pseudogulbenkiania	0.006	0.054		
OTU_115	-2.779	9.191	9.21E-07	6.88E-06	Depleted	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter	0.004	0.027		
OTU_116	-3.303	7.366	0.000162584	0.000503614	Depleted	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0	0.005		
OTU_1161	-2.353	12.253	1.65E-07	1.43E-06	Depleted	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.05	0.255		
OTU_117	-2.44	10.927	2.75E-08	3.27E-07	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	0.019	0.106		
OTU_118	-3.093	10.815	1.65E-07	1.43E-06	Depleted	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	0.005	0.043		
OTU_122	-2.461	9.902	8.49E-05	0.000286213	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	0.007	0.04		
OTU_123	-2.487	9.586	0.000266828	0.000776043	Depleted	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	0.002	0.014		
OTU_125	-2.187	10.581	1.66E-05	7.17E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	0.013	0.06		
OTU_127	-4.071	7.366	0.00827943	0.016868784	Depleted	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	0	0.004		
OTU_128	-3.99	9.884	1.65E-05	7.17E-05	Depleted	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	0.003	0.044		
OTU_129	-1.194	9.387	0.000417156	0.001151714	Depleted	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	0.016	0.037		
OTU_13	-2.249	14.215	2.61E-07	2.12E-06	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	0.135	0.644		
OTU_133	-3.258	9.646	9.51E-05	0.000313219	Depleted	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.002	0.016		
OTU_134	-3.506	6.269	0.001375119	0.003214234	Depleted	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0	0.003		
OTU_136	-2.87	8.467	0.001092316	0.002634001	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.001	0.01		
OTU_137	-2.647	12.766	4.68E-05	0.000168578	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	0.027	0.17		
OTU_138	-3.147	9.131	6.41E-06	3.30E-05	Depleted	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae	Sideroxydans	0.003	0.025		
OTU_139	-2.567	11.393	2.75E-08	3.27E-07	Depleted	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	0.024	0.142		
OTU_140	-3.672	10.844	7.25E-06	3.68E-05	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	0.003	0.04		
OTU_143	-2.954	6.651	0.000273201	0.000778075	Depleted	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	0	0.004		
OTU_144	-3.084	9.918	0.001108831	0.002657011	Depleted	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.002	0.017		
OTU_146	-1.693	11.539	5.13E-06	2.71E-05	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Marmoricola	0.04	0.128		
OTU_148	0.891	13.565	0.003865353	0.008463791	Enriched	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium	0.361	0.195		
OTU_15	-1.677	9.967	0.000558234	0.001466807	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	0.008	0.025		
OTU_152	3.089	16.079	2.75E-08	3.27E-07	Enriched	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	1.561	0.183		
OTU_153	-3.192	9.605	1.02E-05	4.91E-05	Depleted	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilus	0.004	0.035		
OTU_155	-2.757	6.731	0.005436286	0.011636096	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0	0.003		
OTU_16	-2.291	12.959	1.33E-06	9.59E-06	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	0.057	0.278		
OTU_161	-2.603	8.552	0.000625965	0.001611437	Depleted	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	0.002	0.015		
OTU_166	-2.864	11.217	0.001657566	0.003850808	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	0.004	0.029		
OTU_168	-2.618	6.909	0.000481665	0.001301519	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Mycetocola	0.001	0.005		
OTU_172	-2.294	8.214	0.000650599	0.001652521	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Thiomonas	0.001	0.007		
OTU_178	-2.566	11.088	1.38E-08	2.18E-07	Depleted	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.013	0.077		
OTU_179	-2.525	8.044	2.88E-05	0.00011443	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	0.002	0.014		
OTU_18	-2.769	9.745	1.15E-05	5.36E-05	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	0.006	0.042		
OTU_180	-1.418	10.802	0.000280066	0.00079041	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.024	0.065		
OTU_182	-3.011	8.236	4.69E-05	0.000168578	Depleted	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	0.001	0.011		
OTU_185	-3.853	11.126	0.007237193	0.01510134	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	0.003	0.045		
OTU_1894	-2.967	8.629	3.48E-06	2.05E-05	Depleted	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.002	0.013		
OTU_19	-3.515	13.413	1.38E-08	2.18E-07	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	0.04	0.456		
OTU_1954	-4.532	10.996	1.11E-05	5.20E-05	Depleted	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	0.003	0.068		
OTU_196	-2.302	10.88	0.000442907	0.00120534	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	0.009	0.044		
OTU_197	-1.177	12.99	2.17E-05	9.00E-05	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.185	0.418		
OTU_199	-3.224	7.366	6.04E-05	0.00021124	Depleted	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_2	Ammoniphilus	0.001	0.007		
OTU_2	-2.169	8.243	4.19E-05	0.000155138	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	0.004	0.017		
OTU_20	-2.52	10.738	1.38E-08	2.18E-07	Depleted	Proteobacteria	Gammaproteobacteria	Clostridiales	Chloroplast	Streptophyta	0.02	0.117		
OTU_202	-2.45	8.851	2.88E-05	0.00011443	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Acidothermus	0.004	0.02		
OTU_205	-3.502	12.111	0.000100834	0.000326829	Depleted	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.007	0.083		
OTU_206	-2.875	9.72	0.000152394	0.000479853	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_incertae_sedis	Vasilyevaea	0.004	0.027		
OTU_21	-1.326	12.856	9.39E-06	4.65E-05	Depleted	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.191	0.48		
OTU_210	-1.907	12.463	9.63E-08	9.17E-07	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Lapillicoccus	0.068	0.256		
OTU_211	-2.536	8.744	0.007717765	0.015894424	Depleted	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	0.002	0.012		
OTU_214	-3.059	11.325	9.63E-08	9.17E-07	Depleted	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	0.008	0.069		
OTU_217	3.308	13.894	1.38E-08	2.18E-07	Enriched	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	1.031	0.104		
OTU_22	-6.162	14.454	1.38E-08	2.18E-07	Depleted	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Cystobacter	0.01	0.753		
OTU_221	-3.013	11.417	1.38E-08	2.18E-07	Depleted	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus	0.021	0.168		
OTU_224	-2.54	13.543	0.000228011	0.000673428	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Demequinaceae	Demequina	0.026	0.151		
OTU_225	-3.198	8.051	9.54E-06	4.66E-05	Depleted	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	0.001	0.012		
OTU_23	-1.044	13.007	0.007915616	0.016214245	Depleted	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	0.169	0.348		
OTU_230	-2.634	6.146	0.002878165	0.006488645	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0	0.002		
OTU_231	-2.121	7.645	0.000986975	0.002426048	Depleted	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0.002	0.008		
OTU_2317	-2	10.536	9.63E-08	9.17E-07	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.02	0.08		
OTU_233	-3.324	5.745	0.003467743	0.007637052	Depleted	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0	0.002		
OTU_235	-1.11	12.538	0.001252679	0.002982943	Depleted	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	0.145	0.313		
