Supplementary Table 5: Random-forest: accurate of random-forest model at each taxonomy level; feature importance at the family level; outcomes of prediction.										
Supplementary Table 5a: Accurate of random-forest model at each taxonomic level and the feature importance at the family level.										
	Accurate (filed II - train set)	Feature number	Error rate (filed II - train set)	Error rate (filed I - test set）						
phylum	79.43%	36	20.57%	12.46%						
class	79.43%	75	20.57%	11.03%						
order	81.91%	112	18.09%	12.10%						
family	83.69%	274	16.31%	10.32%						
genus	82.27%	920	17.73%	10.32%						
OTUs	75.18%	5141	24.82%	27.05%						
										
										
Feature importance in family level										
Features in family	indica	japonica	MeanDecreaseAccuracy	MeanDecreaseGini	Phylum					
Caldisericaceae	-2.39	-1.41	-2.72	0.09	Caldiserica					
Francisellaceae	-1.41	-2	-2.09	0.03	Proteobacteria					
Dermabacteraceae	-1.73	0	-1.74	0.04	Actinobacteria					
Clostridiales_Incertae_Sedis_IV	-0.87	-1.66	-1.65	0.1	Parcubacteria					
Oligoflexaceae	-1.08	-1.12	-1.63	0.22	Proteobacteria					
Sandaracinaceae	-0.57	-2.48	-1.58	0.15	Proteobacteria					
Pasteurellaceae	-1.92	-0.05	-1.45	0.1	Verrucomicrobia					
Bacillales_incertae_sedis	-1.42	0	-1.42	0.04	Firmicutes					
Bogoriellaceae	-1.38	0	-1.39	0.03	Actinobacteria					
Erythrobacteraceae	-0.69	-1.19	-1.32	0.21	Proteobacteria					
Thermodesulfobacteriaceae	-0.94	-1.41	-1.25	0.07	Proteobacteria					
Flammeovirgaceae	-0.63	-1.02	-1.24	0.15	Bacteroidetes					
Clostridiales_Incertae_Sedis_XI	-0.78	-1	-1.18	0.05	Firmicutes					
Streptosporangiaceae	-1.11	-0.09	-1.03	0.11	Actinobacteria					
Peptococcaceae_2	0	-1	-1	0.01	Firmicutes					
Desulfomicrobiaceae	-1	0	-1	0	Verrucomicrobia					
Acidaminococcaceae	-1	0	-1	0.04	Proteobacteria					
Oxalobacteraceae	-1.74	0.33	-0.96	0.53	Verrucomicrobia					
Gracilibacteraceae	-0.37	-1.07	-0.95	0.14	Firmicutes					
Nitrospinaceae	-1.52	1	-0.89	0.02	Proteobacteria					
Patulibacteraceae	-0.79	0	-0.8	0.05	Actinobacteria					
Thermoactinomycetaceae_1	-0.49	-0.77	-0.79	0.12	Firmicutes					
Phaselicystidaceae	-0.55	-0.88	-0.79	0.48	Proteobacteria					
Clostridiales_Incertae_Sedis_XVII	-0.85	-0.21	-0.76	0.09	Firmicutes					
Cryptosporangiaceae	-0.39	-0.59	-0.64	0.38	Actinobacteria					
Rickettsiaceae	0.49	-1.37	-0.6	0.02	Proteobacteria					
Vulgatibacteraceae	-0.13	-0.89	-0.56	0.29	Proteobacteria					
Microbacteriaceae	0.41	-1.22	-0.5	0.4	Actinobacteria					
Hydrogenophilaceae	-0.74	0.59	-0.5	0.1	Proteobacteria					
Beijerinckiaceae	-1.26	0.86	-0.45	0.67	Proteobacteria					
Dehalococcoidaceae	-2.57	1.65	-0.41	0.31	Chloroflexi					
Campylobacteraceae	-1.07	0.99	-0.36	0.19	Proteobacteria					
Thermogemmatisporaceae	-1.38	1.3	-0.3	0.26	Chloroflexi					
Lactobacillaceae	-0.69	0.71	-0.23	0.12	Proteobacteria					
Syntrophorhabdaceae	-1.77	1.81	-0.18	0.22	Proteobacteria					
Helicobacteraceae	0.7	-1.16	-0.16	0.23	Proteobacteria					
Aeromonadaceae	0.43	-0.49	-0.15	0.53	Verrucomicrobia					
Planococcaceae	-1.52	1.88	-0.12	0.3	Firmicutes					
Alcaligenaceae	-0.36	0.42	-0.12	0.39	Proteobacteria					
