Supplementary Table 6b: Differential abundance of OTUs between indica and japonica in Field II.														
OTUID	logFC	logCPM	P value	FDR	level	Phylum	Class	Order	Family	Genus	Indica	Japonica	Indica_Soil	Japonica_Soil
OTU_10	-0.422	16.936	0.00011629	0.000434378	Depleted	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	2.64	3.536	Enriched	Enriched
OTU_100	-0.491	11.957	0.6794326	0.7681419	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	0.021	0.029	Enriched	NotSig
OTU_1000	-0.224	12.695	0.508284574	0.618710616	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	0.026	0.03	Enriched	Enriched
OTU_102	0.732	11.881	3.16046E-10	1.33793E-08	Enriched	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Dissulfuribacter	0.121	0.073	Depleted	Depleted
OTU_1021	0.194	13.296	0.482739516	0.59522251	NotSig	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	0.053	0.046	Enriched	Enriched
OTU_1023	-0.669	12.362	0.001858822	0.004952525	Depleted	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	0.011	0.018	Enriched	Enriched
OTU_104	-0.116	14.875	0.106915414	0.169023953	NotSig	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ciceribacter	0.324	0.351	Enriched	Enriched
OTU_1046	1.214	11.767	0.00129816	0.003604613	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.023	0.01	NotSig	Depleted
OTU_105	0.294	14.189	0.017909513	0.036038064	NotSig	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0.407	0.332	Enriched	Enriched
OTU_106	0.43	12.184	8.48861E-07	5.98919E-06	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	0.174	0.129	Depleted	Depleted
OTU_107	0.607	14.321	0.005009149	0.011292815	Enriched	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Leeia	0.313	0.205	Enriched	Enriched
OTU_108	0.374	13.318	2.17642E-05	9.53123E-05	Enriched	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	0.309	0.238	Depleted	Depleted
OTU_109	0.502	13.404	9.01108E-06	4.57763E-05	Enriched	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	0.355	0.251	Enriched	Enriched
OTU_11	0.921	17.675	2.09193E-12	1.59405E-10	Enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	6.354	3.356	Enriched	Enriched
OTU_111	0.12	12.099	0.023961662	0.045419866	NotSig	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	0.105	0.097	Depleted	Depleted
OTU_112	0.371	13.827	3.86747E-05	0.000158441	Enriched	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	0.366	0.283	Depleted	Depleted
OTU_113	0.266	12.125	0.004461227	0.010178008	Enriched	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	0.116	0.097	Depleted	Depleted
OTU_1138	0.018	12.456	0.475344052	0.590222117	NotSig	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.028	0.027	Enriched	Enriched
OTU_114	0.625	12.881	1.3083E-09	2.82541E-08	Enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Neisseriaceae	Pseudogulbenkiania	0.226	0.147	Depleted	Depleted
OTU_1148	1.087	9.663	9.49573E-10	2.55719E-08	Enriched	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	0.015	0.007	Depleted	Depleted
OTU_115	0.566	13.31	7.69397E-06	3.96136E-05	Enriched	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter	0.217	0.146	Enriched	NotSig
OTU_1159	0.261	9.457	0.035857139	0.064746777	NotSig	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	0.015	0.012	Depleted	Depleted
OTU_116	0.395	12.668	1.1091E-07	1.03065E-06	Enriched	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0.243	0.185	Depleted	Depleted
OTU_1161	0.062	14.164	0.003364367	0.0080114	NotSig	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.302	0.289	Depleted	Depleted
OTU_117	0.461	13.285	0.001291012	0.003604613	Enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	0.229	0.167	Enriched	Enriched
OTU_1174	0.35	9.55	0.063887185	0.108665257	NotSig	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0.014	0.011	Depleted	Depleted
OTU_118	0.843	14.68	9.84378E-07	6.69728E-06	Enriched	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	0.259	0.145	Enriched	NotSig
OTU_119	0.495	13.586	1.43199E-06	9.40668E-06	Enriched	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix	0.415	0.294	Enriched	NotSig
