Supplementary Table 7: Abundance of OTUs in time-course data, and functional annotation by FAPROTAX.																			
Supplementary Table 7a: Abundances of indica-enriched OTUs in time-course data.																			
OTUID	1 (day)	2 (day)	3 (day)	7 (day)	10 (day)	14 (day)	21 (day)	28 (day)	35 (day)	42 (day)	49 (day)	63 (day)	70 (day)	77 (day)	84 (day)	91 (day)	98 (day)	112 (day)	119 (day)
OTU_81	0.007	0.039	0.033	0.393	0.571	0.821	1.146	2.774	2.273	3.581	3.639	3.728	5.134	5.089	4.912	8.703	8.272	8.677	6.539
OTU_169	0	0	0	0.004	0.008	0.038	0.008	0.118	0.072	0.301	0.402	0.521	1.276	1.165	1.126	1.751	1.482	1.707	1.628
OTU_48	0.023	0.009	0.011	0.05	0.298	0.198	0.475	2.934	2.032	3.645	3.77	3.048	5.234	7.091	5.365	4.878	6.932	7.308	6.714
OTU_68	0.057	0.074	0.042	0.317	1.641	2.004	1.418	2.832	2.397	5.228	7.753	6.681	8.855	7.197	7.478	11.812	10.003	12.175	8.947
OTU_37	0.017	0.045	0.013	0.048	0.059	0.026	0.057	0.736	0.383	2.052	2.61	3.364	6.744	6.787	6.814	12.824	17.945	20.14	18.673
OTU_8	0.011	0.047	0.017	0.084	0.7	0.201	1.022	12.228	6.922	44.559	37.512	40.215	87.05	90.85	57.387	108.724	81.289	74.672	66.985
OTU_142	0	0	0	0.005	0	0	0.023	0.029	0.009	0.017	0.132	0.571	0.79	2.58	2.679	4.509	3.741	6.209	7.017
OTU_9	0.012	0.153	0.083	1.399	6.523	2.405	4.812	12.033	5.089	7.336	15.167	16.011	18.616	23.228	12.808	22.382	17.454	18.052	18.469
OTU_115	0.055	0.06	0.044	0.053	0.324	0.472	0.409	0.196	0.233	0.548	0.606	1.135	1.451	2.683	2.009	1.814	1.706	1.456	2.027
OTU_138	0.015	0.005	0.024	0.12	0.686	0.069	0.489	3.044	0.853	0.709	1.599	2.101	3.126	3.281	2.73	6.882	8.592	9.694	13.311
OTU_61	0.013	0.008	0.004	0.019	0.02	0	0.025	0.099	0.103	0.157	0.313	0.273	0.195	0.492	0.25	0.603	0.331	0.313	0.489
OTU_786	0.011	0.028	0.003	0	0	0	0.005	0.08	0.022	0	0.061	0.062	0.138	0.139	0.086	0.353	0.215	0.242	0.173
OTU_30	0.011	0.061	0.054	0.483	1.512	0.916	3.771	8.531	12.818	10.39	23.462	18.258	13.817	23.686	14.682	35.896	26.566	23.498	13.642
OTU_1954	0.058	0.037	0.057	0.104	0.289	0.219	0.607	4.607	3.937	5.479	6.071	8.113	17.241	13.267	7.864	10.632	13.574	9.016	6.726
OTU_2378	0	0.013	0.009	0.004	0	0	0.05	0.046	0	0.018	0.015	0.046	0.053	0.073	0.03	0.027	0.062	0.105	0.085
OTU_620	0	0.004	0.015	0.016	0	0.014	0.05	0.085	0.039	0.025	0.026	0.032	0.07	0.069	0.053	0.049	0.064	0.103	0.086
OTU_316	0.005	0.02	0.024	0.166	0.193	0.342	0.117	0.267	0.703	0.408	0.567	0.455	0.625	0.91	0.843	0.884	0.677	0.537	0.538
OTU_121	0	0	0	0	0	0.013	0.005	0.003	0.066	0.143	0.104	0.079	0.059	0.087	0.065	0.142	0.103	0.111	0.092
OTU_102	0.099	0.077	0.031	0.043	0.021	0.012	0.03	0.737	0.514	0.512	1.553	3.407	10.658	8.642	3.792	3.615	3.548	5.925	8.151
