Supplementary Table 7: Abundance of OTUs in time-course data, and functional annotation by FAPROTAX.																			
Supplementary Table 7a: Abundances of indica-enriched OTUs in time-course data.																			
OTUID	1 (day)	2 (day)	3 (day)	7 (day)	10 (day)	14 (day)	21 (day)	28 (day)	35 (day)	42 (day)	49 (day)	63 (day)	70 (day)	77 (day)	84 (day)	91 (day)	98 (day)	112 (day)	119 (day)
OTU_109	0.019	0.034	0.117	0.896	0.122	0.248	0.063	0.14	0.066	0.028	0.056	0.136	0.639	0.774	0.68	0.667	1.145	1.384	1.396
OTU_47	0.083	0.152	0.23	1.028	0.948	0.979	0.445	0.575	1.532	2.995	3.626	4.075	5.18	8.82	6.83	3.268	4.463	5.682	2.885
OTU_386	0.11	0.12	0.145	0.141	0.148	0.033	0.058	0.131	0.134	0.147	0.116	0.146	0.151	0.26	0.09	0.216	0.262	0.424	0.342
OTU_66	0.005	0	0	0	0	0	0.013	0.022	0.02	0.032	0.007	0.017	0.021	0.036	0.024	0.028	0.02	0.047	0.016
OTU_144	0	0	0	0.009	0.049	0.198	0.171	0.179	0.252	2.387	1.786	1.458	3.078	4.135	2.353	1.618	2.085	2.571	1.206
OTU_329	0.009	0.037	0.03	0.191	0.108	0.073	0.042	0.139	0.323	0.402	0.275	0.597	0.608	1.549	0.437	0.596	0.444	0.627	0.551
OTU_11	0.206	0.166	0.252	1.06	17.82	3.025	5.093	42.731	44.935	108.358	67.755	37.75	62.911	49.794	43.957	60.304	60.21	52.796	55.067
OTU_236	0.233	0.207	0.17	0.079	0.206	0.186	0.351	0.528	0.233	0.093	0.215	0.214	0.223	0.147	0.989	1.299	0.816	0.521	2.616
OTU_1697	0	0	0	0.004	0	0	0	0.009	0	0.007	0.009	0.012	0	0.021	0.011	0.013	0	0.013	0.015
OTU_45	0	0	0	0.041	0.068	0.042	0.423	1.903	2.358	4.761	3.532	2.91	6.195	4.753	2.602	5.598	3.075	2.496	1.911
OTU_119	0	0.012	0.004	0.094	0.008	0.03	0.039	0.113	0.262	0.645	1.088	1.046	0.584	1.222	0.552	0.384	0.588	0.606	0.43
OTU_461	0	0	0	0	0	0	0	0	0	0	0.004	0.006	0	0.015	0.006	0.011	0.006	0.005	0.057
OTU_350	0.075	0.082	0.064	0.031	0.041	0.032	0.106	0.219	0.245	0.658	0.845	0.833	1.745	1.658	0.542	0.714	0.674	0.543	0.443
OTU_3464	0.086	0.202	0.425	2.753	0.379	1.491	0.255	1.274	1.216	2.916	2.766	1.236	2.829	1.968	0.868	1.691	2.094	2.519	2.882
OTU_730	0.015	0.009	0.008	0.004	0.005	0	0.027	0.008	0.022	0.005	0.013	0.018	0.018	0.022	0.017	0.036	0.015	0.023	0.016
OTU_132	0	0	0	0	0	0	0	0	0.01	0.032	0.047	0.087	0.062	0.287	0.051	0.093	0.084	0.066	0.035
OTU_20	0.004	0.004	0.007	0.254	0.952	0.589	0.656	3.479	1.169	2.81	2.744	1.6	1.738	2.186	1.953	2.028	1.658	1.946	1.262
OTU_221	0	0.025	0	0.09	0.137	0.367	0.234	0.536	0.38	0.711	0.936	0.426	0.379	0.642	0.425	0.636	0.314	0.367	0.451
OTU_440	0.104	0.093	0.088	0.088	0.075	0.12	0.122	0.146	0.064	0.275	0.278	0.148	0.193	0.254	0.154	0.172	0.188	0.123	0.173
OTU_528	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0.022	0.007	0	0	0.035	0
OTU_961	0.013	0.009	0.015	0	0.019	0.015	0.016	0.113	0.089	0.059	0.132	0.031	0.072	0.045	0.037	0.036	0.103	0.042	0.068
OTU_190	0.005	0.014	0.009	0.457	0.13	0.076	0.036	0.106	0.185	0.542	0.53	0.325	0.225	0.582	0.277	0.437	0.178	0.272	0.159
OTU_712	0.057	0.046	0.016	0.041	0.022	0	0.011	0.035	0.03	0.039	0.042	0.013	0.055	0.037	0.011	0.08	0.061	0.057	0.042
OTU_439	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0.005	0
OTU_202	0.032	0.053	0.036	0.034	0.032	0.042	0.115	0.068	0.03	0.179	0.17	0.08	0.115	0.223	0.083	0.18	0.081	0.06	0.06
OTU_282	0	0	0	0	0	0	0.077	0	0.031	0	0.196	0.007	0.03	0.396	0.382	0.885	0	0.007	0
OTU_1517	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0.007	0	0	0.004
OTU_406	0.02	0.009	0.007	0	0.011	0	0.005	0.016	0.022	0.011	0.009	0.006	0.026	0.005	0	0.007	0.022	0.039	0.013
OTU_107	0	0	0	0	0	0	0	0	0	0	0.023	0.128	0.011	0.063	0.106	0.035	0	0.005	0
OTU_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.007	0	0	0
OTU_512	0.135	0.206	0.171	0.389	0.627	0.591	0.916	0.647	0.551	1.089	0.717	0.595	0.866	1.074	0.541	0.817	0.423	0.335	0.674
OTU_4306	0.136	0.12	0.188	0.235	0.098	0.076	0.271	0.453	0.402	0.101	0.16	0.259	0.167	0.321	0.217	0.42	0.252	0.183	0.248
OTU_365	0	0	0	0	0	0	0	0.012	0.044	0.024	0	0.006	0.006	0	0.055	0	0	0.02	0.011
OTU_124	0	0	0	0	0	0	0	0	0	0.01	0.02	0.085	0.046	0.693	0.029	0.084	0.058	0.027	0.004
OTU_861	0.013	0.028	0.009	0.016	0.007	0.038	0.038	0.05	0.012	0.022	0.063	0.036	0.03	0.027	0.034	0.063	0.049	0.019	0.015
OTU_310	0	0.004	0	0	0	0	0	0.006	0	0	0.012	0	0	0.005	0	0.008	0	0.01	0
OTU_675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0
OTU_392	0.043	0.017	0.015	0.004	0.016	0.02	0.019	0.112	0.152	0.051	0.121	0.074	0.023	0.093	0.06	0.052	0.017	0.095	0.04
OTU_145	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0.022	0	0	0	0	0.004
OTU_80	0.007	0.008	0.302	1.24	1.266	9.492	3.418	1.061	0.954	1.083	2.071	2.884	2.417	2.67	2.643	4.305	1.465	2.603	3.481
OTU_243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0
OTU_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0
OTU_164	0	0	0	0.004	0	0	0	0	0	0	0	0.006	0.006	0	0	0	0	0.005	0
OTU_29	0.113	0.108	0.128	0.557	14.399	13.479	26.836	27.987	25.468	27.452	14.036	13.057	11.378	14.686	14.535	10.014	14.229	11.725	13.095
OTU_1894	0.094	0.073	0.061	0.083	0.058	0.065	0.044	0.128	0.024	0.079	0.107	0.078	0.078	0.091	0.071	0.178	0.074	0.055	0.074
OTU_348	0.005	0.012	0	0.006	0	0.005	0	0.009	0.041	0.027	0.009	0.022	0	0.037	0.005	0	0	0.019	0.011
OTU_39	12.157	15.079	18.106	27.062	31.15	19.228	17.312	34.679	33.11	19.797	22.162	19.071	26.631	26.676	20.67	29.499	23.379	22.369	20.288
OTU_384	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0
OTU_841	0	0	0.012	0.016	0	0.005	0.006	0.022	0.012	0.01	0.014	0	0.02	0.011	0.006	0.014	0.01	0	0.012
OTU_410	0.005	0.004	0.004	0	0.006	0	0	0.104	0.034	0.045	0.101	0.007	0.029	0.089	0.006	0.013	0.005	0.023	0.011
OTU_261	0	0	0	0	0	0	0	0	0	0.006	0.006	0	0	0.006	0	0	0	0	0
OTU_178	0.353	0.343	0.217	0.285	0.28	0.378	0.585	0.467	0.2	0.394	0.396	0.296	0.365	0.314	0.305	0.571	0.292	0.374	0.253
OTU_112	0.062	0.076	0.025	0.024	0.04	0.051	0.154	0.068	0.038	0.066	0.049	0.018	0.065	0.077	0.052	0.079	0.046	0.048	0.065
OTU_89	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0.006	0	0.005	0	0
OTU_777	0.004	0.014	0	0.004	0	0	0	0	0	0	0	0	0	0.005	0.005	0.007	0	0.005	0
OTU_141	0	0	0.004	0.033	0.006	0.247	0.148	0.045	0.084	0.066	0.085	0.066	0.026	0.064	0.05	0.076	0.01	0.09	0.018
OTU_2397	0.004	0.018	0.008	0.015	0.014	0.042	0.005	0.016	0.346	0.12	0.344	0.04	0.012	0.016	0.006	0.007	0.007	0.015	0
OTU_587	0	0	0	0	0	0.005	0.008	0	0	0	0	0	0	0.005	0	0	0	0	0
OTU_230	0	0.025	0.016	0.015	0.012	0	0.049	0.026	0	0	0.005	0	0.007	0.011	0.011	0.028	0	0.009	0.01
OTU_791	0.118	0.111	0.058	0.058	0.094	0.085	0.1	0.132	0.062	0.16	0.132	0.137	0.13	0.05	0.043	0.134	0.051	0.07	0.064
OTU_118	0.035	0.102	0.353	2.189	2.609	1.989	1.096	0.496	0.604	0.225	0.715	0.362	0.296	0.977	0.611	0.417	0.52	0.996	0.629
OTU_246	0.015	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0
OTU_219	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_402	0	0.004	0.022	0.02	0	0	0.019	0.003	0	0.006	0.007	0	0.015	0.006	0	0.017	0	0	0
OTU_837	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_220	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_186	0	0.028	0.119	0.869	0.501	1.064	0.312	0.313	0.228	0.415	0.263	0.196	0.214	0.362	0.117	0.112	0.146	0.221	0.21
OTU_275	0	0.004	0.004	0	0.01	0	0	0.003	0	0	0	0	0	0	0.006	0	0	0	0
OTU_155	0.45	0.088	0.012	0.02	0.087	0.006	0.046	0.011	0.02	0.058	0.025	0.007	0.019	0.021	0.029	0.035	0.01	0.037	0.017
OTU_340	0.011	0.004	0.008	0	0.004	0	0.046	0.027	0.023	0.005	0.013	0.011	0	0	0.006	0	0	0	0
OTU_544	0.007	0	0	0	0.004	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0
OTU_191	0	0.01	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_288	0.701	0.591	0.536	0.262	0.156	0.034	0.254	0.349	0.2	0.078	0.091	0.091	0.189	0.437	0.276	0.25	0.2	0.176	0.148
OTU_888	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_612	0.044	0.114	0.076	0.081	0.127	0.057	0.238	0.138	0.045	0.03	0.041	0.013	0.054	0.047	0.029	0.054	0.039	0.065	0.044
OTU_540	0.013	0.046	0.013	0.016	0.015	0.005	0.007	0.005	0.008	0.03	0.013	0	0.005	0.005	0.018	0	0	0.01	0.003
OTU_800	0.129	0.138	0.119	0.085	0.028	0.051	0.078	0.145	0.035	0.047	0.089	0.034	0.092	0.092	0.034	0.088	0.012	0.046	0.053
OTU_628	3.238	2.213	1.658	0.669	0.214	0.455	0.208	0.734	2.559	1.285	0.513	0.147	1.843	0.191	0.123	0.038	0.554	0.162	0.604
OTU_172	0.103	0.155	0.137	0.046	0.075	0.043	0.079	0.135	0.079	0.021	0.059	0.013	0.032	0.086	0.025	0.115	0.06	0.043	0.024
OTU_5629	0.058	0.032	0.017	0.01	0	0	0.012	0.006	0	0	0.009	0	0	0.01	0	0.01	0	0	0.004
OTU_195	0.005	0.004	0.003	0.02	0.018	0	0.006	0.003	0	0.005	0.005	0	0.005	0	0	0	0.006	0	0
OTU_378	0.403	0.657	0.401	0.198	0.279	0.189	0.41	0.3	0.273	0.288	0.3	0.202	0.197	0.277	0.315	0.366	0.202	0.152	0.207
OTU_303	0	0.004	0.005	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_637	0.157	0.127	0.209	0.175	0.204	0.088	0.193	0.345	0.14	0.149	0.1	0.066	0.119	0.18	0.172	0.141	0.052	0.067	0.059
OTU_506	0.069	0.041	0.057	0.046	0.012	0.013	0.044	0.031	0.035	0.034	0.017	0	0.019	0.04	0.017	0.05	0.01	0.009	0.015
OTU_496	0.183	0.931	2.343	2.596	0.864	3.23	0.356	0.19	0.6	0.628	0.298	0.264	0.975	0.534	0.272	0.418	0.418	0.196	0.222
OTU_575	0.133	0.11	0.104	0.041	0.062	0.036	0.095	0.057	0.012	0.03	0	0.024	0.044	0.027	0.023	0.101	0.026	0.019	0.028
OTU_926	1.447	1.041	0.548	0.143	0.271	0.108	0.242	0.208	0.088	0.387	0.387	0.22	0.235	0.21	0.184	0.202	0.12	0.091	0.073
OTU_199	0.396	0.288	0.203	0.081	0.079	0.017	0.121	0.066	0.041	0.113	0.062	0.026	0.032	0.035	0.04	0.121	0.037	0.058	0.044
OTU_108	0.619	0.659	0.336	0.078	0.057	0.05	0.163	0.083	0.048	0.06	0.077	0.038	0.033	0.062	0.055	0.092	0.038	0.035	0.026
OTU_438	0.062	0.026	0.025	0.017	0.011	0	0.035	0.006	0.008	0.018	0.004	0	0.014	0	0	0	0.005	0.004	0.011
OTU_210	2.421	3.63	1.647	0.81	0.739	0.551	1.561	1.082	0.485	0.539	0.579	0.329	0.346	0.638	0.355	0.835	0.256	0.401	0.631
OTU_374	0.073	0.061	0.027	0.038	0.036	0.015	0.075	0.031	0	0	0.004	0.006	0.022	0	0.01	0.014	0.01	0.014	0.013
OTU_525	0.194	0.165	0.159	0.04	0.056	0.007	0.069	0.048	0	0.006	0.017	0	0.015	0.006	0.006	0.028	0.023	0.025	0.01
OTU_233	0.103	0.056	0.038	0.039	0.012	0.01	0.04	0.016	0.024	0.007	0.015	0.013	0.029	0.021	0	0.011	0	0	0.009
OTU_669	0.441	0.408	0.247	0.103	0.163	0.076	0.222	0.101	0.032	0.131	0.052	0.037	0.046	0.114	0.077	0.132	0.038	0.035	0.053
OTU_136	0.235	0.205	0.154	0.2	0.174	0.143	0.375	0.145	0.108	0.052	0.103	0.053	0.052	0.119	0.064	0.177	0.06	0.058	0.064
OTU_716	0.888	0.9	1.351	0.133	0.444	0.203	0.047	0.047	0.026	0.03	0.009	0.026	0	0.011	0.006	0.048	0.005	0.004	0.012
OTU_396	0.837	0.59	0.481	0.377	0.199	0.108	0.329	0.26	0.136	0.175	0.162	0.056	0.095	0.154	0.114	0.277	0.098	0.085	0.13
OTU_679	0.385	0.189	0.199	0.151	0.147	0.093	0.293	0.149	0.068	0.084	0.055	0.033	0.02	0.048	0.082	0.15	0.061	0.066	0.038
OTU_182	0.353	0.277	0.196	0.092	0.132	0.072	0.195	0.133	0.193	0.115	0.109	0.037	0.016	0.098	0.051	0.07	0.051	0.112	0.062
OTU_161	0.693	0.744	0.376	0.183	0.223	0.117	0.338	0.271	0.088	0.149	0.128	0.055	0.091	0.095	0.1	0.164	0.028	0.045	0.099
OTU_7	41.083	26.819	29.434	11.613	6.726	19.601	35.489	24.54	18.391	35.887	21.771	12.539	13.382	11.83	7.267	6.679	6.781	5.066	5.319
OTU_114	0.796	0.935	0.604	0.859	0.896	0.599	1.508	0.887	0.312	0.279	0.398	0.239	0.273	0.484	0.305	0.441	0.207	0.228	0.241
OTU_179	0.533	0.448	0.218	0.25	0.183	0.147	0.384	0.159	0.06	0.16	0.122	0.041	0.075	0.07	0.03	0.162	0.05	0.075	0.046
OTU_106	0.14	0.14	0.097	0.085	0.124	0.036	0.143	0.088	0.041	0	0.007	0.027	0	0.01	0.006	0.059	0.026	0.02	0.004
OTU_906	0.044	0.038	0.025	0.024	0.026	0.028	0.03	0.029	0.006	0	0.009	0	0	0.015	0.006	0.013	0.005	0	0.011
OTU_117	2.211	3.459	2.927	4.952	5.621	3.783	4.358	1.339	0.549	0.49	0.6	0.519	0.49	0.917	0.722	0.674	0.395	0.548	0.378
OTU_116	0.399	0.349	0.299	0.184	0.244	0.132	0.202	0.191	0.047	0.03	0.059	0.047	0.039	0.053	0.056	0.076	0.051	0.043	0.036
OTU_494	0.45	0.388	0.482	0.596	0.722	0.406	0.544	0.161	0.109	0.142	0.128	0.082	0.124	0.153	0.122	0.09	0.081	0.054	0.068
OTU_19	74.368	78.397	80.288	64.792	45.093	45.763	87.62	93.403	88.611	73.869	58.139	28.173	37.058	35.029	23.676	25.156	24.031	17.029	16.226
