Supplementary Table 13c: Phenotypic data of synthetic consortia colonization of germ-free plants experiment (Inorganic nitrogen). Related to Supplementary Fig. 13.					
GroupID	Pot	Replicate	Fresh Weight(g)	Plant Height(mm)	Root Length(mm)
Ir24GfIn	1	1	0.22	325	111
Ir24GfIn	1	2	0.13	255	76
Ir24GfIn	1	3	0.14	303	76
Ir24GfIn	1	4	0.17	302	81
Ir24GfIn	1	5	0.09	289	73
Ir24GfIn	2	1	0.14	300	68
Ir24GfIn	2	2	0.07	245	34
Ir24GfIn	2	3	0.09	250	50
Ir24GfIn	2	4	0.1	259	52
Ir24GfIn	2	5	0.16	307	73
Ir24GfIn	3	1	0.13	267	57
Ir24GfIn	3	2	0.19	341	59
Ir24GfIn	3	3	0.16	272	82
Ir24GfIn	3	4	0.16	307	75
Ir24GfIn	3	5	0.09	272	51
Ir24GfIn	4	1	0.13	260	122
Ir24GfIn	4	2	0.23	335	108
Ir24GfIn	4	3	0.05	190	62
Ir24GfIn	4	4	0.15	300	50
Ir24GfIn	4	5	0.16	290	50
Ir24IeIn	1	1	0.11	254	52
Ir24IeIn	1	2	0.08	223	24
Ir24IeIn	1	3	0.08	225	20
Ir24IeIn	1	4	0.08	226	NA
Ir24IeIn	1	5	0.16	282	52
Ir24IeIn	2	1	0.22	335	57
Ir24IeIn	2	2	0.12	235	89
Ir24IeIn	2	3	0.16	270	62
Ir24IeIn	2	4	0.12	276	49
Ir24JeIn	1	1	0.06	151	70
Ir24JeIn	1	2	0.12	223	70
Ir24JeIn	1	3	0.08	233	59
Ir24JeIn	1	4	0.05	202	51
Ir24JeIn	1	5	0.07	165	56
Ir24JeIn	2	1	0.11	235	109
Ir24JeIn	2	2	0.14	285	59
Ir24JeIn	2	3	0.2	305	86
Ir24JeIn	2	4	0.12	258	74
Ir24IehIn	1	1	0.16	272	72
Ir24IehIn	1	2	0.25	356	67
Ir24IehIn	1	3	0.19	312	67
Ir24IehIn	1	4	0.18	315	81
Ir24IehIn	1	5	0.2	310	58
Ir24IehIn	2	1	0.13	220	70
Ir24IehIn	2	2	0.07	206	35
Ir24IehIn	2	3	0.15	213	62
Ir24IehIn	2	4	0.09	242	34
Ir24JehIn	1	1	0.18	330	116
Ir24JehIn	1	2	0.12	275	52
Ir24JehIn	1	3	0.21	330	143
Ir24JehIn	1	4	0.12	282	48
Ir24JehIn	1	5	0.07	243	112
Ir24JehIn	2	1	0.27	385	57
Ir24JehIn	2	2	0.07	208	45
Ir24JehIn	2	3	0.16	298	53
Ir24JehIn	2	4	0.11	243	84
					
					
